Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 27, 2015",vs New Orleans,REG,W,111-95,W,-10.5,U,215.5
"Oct 30, 2015",@ Houston,REG,W,112-92,W,-1.0,U,216.5
"Oct 31, 2015",@ New Orleans,REG,W,134-120,W,-5.5,O,211.5
"Nov 2, 2015",vs Memphis,REG,W,119-69,W,-9.0,U,204.5
"Nov 4, 2015",vs LA Clippers,REG,W,112-108,L,-7.5,O,217.5
"Nov 6, 2015",vs Denver,REG,W,119-104,L,-17.5,O,211.0
"Nov 7, 2015",@ Sacramento,REG,W,103-94,L,-14.0,U,220.5
"Nov 9, 2015",vs Detroit,REG,W,109-95,W,-12.5,U,208.5
"Nov 11, 2015",@ Memphis,REG,W,100-84,W,-7.0,U,200.0
"Nov 12, 2015",@ Minnesota,REG,W,129-116,W,-10.5,O,211.5
"Nov 14, 2015",vs Brooklyn,REG,W,107-99,L,-16.5,U,207.5
"Nov 17, 2015",vs Toronto,REG,W,115-110,L,-9.5,O,209.0
"Nov 19, 2015",@ LA Clippers,REG,W,124-117,W,-5.5,O,213.5
"Nov 20, 2015",vs Chicago,REG,W,106-94,W,-9.0,U,208.5
"Nov 22, 2015",@ Denver,REG,W,118-105,P,-13.0,O,210.0
"Nov 24, 2015",vs LA Lakers,REG,W,111-77,W,-17.0,U,215.0
"Nov 27, 2015",@ Phoenix,REG,W,135-116,W,-8.0,O,217.5
"Nov 28, 2015",vs Sacramento,REG,W,120-101,W,-16.5,O,220.0
"Nov 30, 2015",@ Utah,REG,W,106-103,L,-7.5,O,202.0
"Dec 2, 2015",@ Charlotte,REG,W,116-99,W,-9.0,O,207.5
"Dec 5, 2015",@ Toronto,REG,W,112-109,L,-7.5,O,210.5
"Dec 6, 2015",@ Brooklyn,REG,W,114-98,W,-11.5,O,209.5
"Dec 8, 2015",@ Indiana,REG,W,131-123,W,-6.0,O,215.0
"Dec 11, 2015",@ Boston,REG,W,124-119,P,-5.0,O,214.0
"Dec 12, 2015",@ Milwaukee,REG,L,108-95,L,-9.5,U,206.0
"Dec 16, 2015",vs Phoenix,REG,W,128-103,W,-12.0,O,219.5
"Dec 18, 2015",vs Milwaukee,REG,W,121-112,L,-19.0,O,210.5
"Dec 23, 2015",vs Utah,REG,W,103-85,W,-14.0,U,207.5
"Dec 25, 2015",vs Cleveland,REG,W,89-83,L,-6.5,U,207.5
"Dec 28, 2015",vs Sacramento,REG,W,122-103,W,-14.0,O,220.0
"Dec 30, 2015",@ Dallas,REG,L,114-91,L,-3.5,U,208.5
"Dec 31, 2015",@ Houston,REG,W,114-110,W,3.5,O,211.0
"Jan 2, 2016",vs Denver,REG,W,111-108,L,-15.0,O,216.0
"Jan 4, 2016",vs Charlotte,REG,W,111-101,L,-12.0,U,212.5
"Jan 5, 2016",@ LA Lakers,REG,W,109-88,W,-13.5,U,211.5
"Jan 8, 2016",@ Portland,REG,W,128-108,W,-9.0,O,215.0
"Jan 9, 2016",@ Sacramento,REG,W,128-116,W,-9.0,O,225.0
"Jan 11, 2016",vs Miami,REG,W,111-103,L,-14.5,O,209.5
"Jan 13, 2016",@ Denver,REG,L,112-110,L,-9.5,O,215.5
"Jan 14, 2016",vs LA Lakers,REG,W,116-98,L,-18.5,U,216.0
"Jan 16, 2016",@ Detroit,REG,L,113-95,L,-7.0,U,216.5
"Jan 18, 2016",@ Cleveland,REG,W,132-98,W,3.5,O,209.5
"Jan 20, 2016",@ Chicago,REG,W,125-94,W,-6.0,O,216.0
"Jan 22, 2016",vs Indiana,REG,W,122-110,L,-12.5,O,216.5
"Jan 25, 2016",vs San Antonio,REG,W,120-90,W,-4.5,U,211.5
"Jan 27, 2016",vs Dallas,REG,W,127-107,W,-17.5,O,214.5
"Jan 30, 2016",@ Philadelphia,REG,W,108-105,L,-17.0,U,218.0
"Jan 31, 2016",@ New York,REG,W,116-95,W,-11.0,U,218.0
"Feb 3, 2016",@ Washington,REG,W,134-121,W,-10.0,O,227.0
"Feb 6, 2016",vs Oklahoma City,REG,W,116-108,W,-7.5,U,233.5
"Feb 9, 2016",vs Houston,REG,W,123-110,L,-14.0,O,229.0
"Feb 10, 2016",@ Phoenix,REG,W,112-104,L,-16.0,U,219.5
"Feb 19, 2016",@ Portland,REG,L,137-105,L,-8.0,O,225.0
"Feb 20, 2016",@ LA Clippers,REG,W,115-112,L,-4.0,U,228.5
"Feb 22, 2016",@ Atlanta,REG,W,102-92,W,-6.0,U,226.5
"Feb 24, 2016",@ Miami,REG,W,118-112,L,-9.0,O,218.5
"Feb 25, 2016",@ Orlando,REG,W,130-114,W,-8.0,O,223.5
"Feb 27, 2016",@ Oklahoma City,REG,W,121-118,P,-3.0,O,233.5
"Mar 1, 2016",vs Atlanta,REG,W,109-105,L,-5.5,O,213.5
"Mar 3, 2016",vs Oklahoma City,REG,W,121-106,W,-7.5,U,230.5
"Mar 6, 2016",@ LA Lakers,REG,L,112-95,L,-17.5,U,222.0
"Mar 7, 2016",vs Orlando,REG,W,119-113,L,-16.0,O,225.0
"Mar 9, 2016",vs Utah,REG,W,115-94,W,-14.0,P,209.0
"Mar 11, 2016",vs Portland,REG,W,128-112,W,-14.0,O,228.0
"Mar 12, 2016",vs Phoenix,REG,W,123-116,L,-18.5,O,228.0
"Mar 14, 2016",vs New Orleans,REG,W,125-107,W,-16.0,O,231.5
"Mar 16, 2016",vs New York,REG,W,121-85,W,-15.0,U,220.0
"Mar 18, 2016",@ Dallas,REG,W,130-112,W,-9.0,O,227.0
"Mar 19, 2016",@ San Antonio,REG,L,87-79,L,4.5,U,220.5
"Mar 21, 2016",@ Minnesota,REG,W,109-104,L,-12.5,U,232.5
"Mar 23, 2016",vs LA Clippers,REG,W,114-98,W,-10.5,U,223.0
"Mar 25, 2016",vs Dallas,REG,W,128-120,L,-16.5,O,220.5
"Mar 27, 2016",vs Philadelphia,REG,W,117-105,L,-22.0,U,225.0
"Mar 29, 2016",vs Washington,REG,W,102-94,L,-12.5,U,226.0
"Mar 30, 2016",@ Utah,REG,W,103-96,W,-4.5,U,203.5
"Apr 1, 2016",vs Boston,REG,L,109-106,L,-11.5,U,221.0
"Apr 3, 2016",vs Portland,REG,W,136-111,W,-11.5,O,227.0
"Apr 5, 2016",vs Minnesota,REG,L,124-117,L,-14.5,O,226.0
"Apr 7, 2016",vs San Antonio,REG,W,112-101,W,-6.0,O,208.5
"Apr 9, 2016",@ Memphis,REG,W,100-99,L,-13.0,U,213.5
"Apr 10, 2016",@ San Antonio,REG,W,92-86,W,3.5,U,206.0
"Apr 13, 2016",vs Memphis,REG,W,125-104,W,-17.5,O,212.5
"Apr 16, 2016",vs Houston,PST,W,104-78,W,-13.0,U,225.0
"Apr 18, 2016",vs Houston,PST,W,115-106,W,-8.5,O,211.5
"Apr 21, 2016",@ Houston,PST,L,97-96,L,-3.5,U,215.5
"Apr 24, 2016",@ Houston,PST,W,121-94,W,-8.5,U,217.5
"Apr 27, 2016",vs Houston,PST,W,114-81,W,-9.0,U,212.5
"May 1, 2016",vs Portland,PST,W,118-106,W,-9.5,O,210.5
"May 3, 2016",vs Portland,PST,W,110-99,W,-9.0,U,212.0
"May 7, 2016",@ Portland,PST,L,120-108,L,-3.0,O,212.5
"May 9, 2016",@ Portland,PST,W,132-125,W,-6.0,O,215.0
"May 11, 2016",vs Portland,PST,W,125-121,L,-13.5,O,217.5
"May 16, 2016",vs Oklahoma City,PST,L,108-102,L,-7.5,U,225.0
"May 18, 2016",vs Oklahoma City,PST,W,118-91,W,-9.0,U,223.0
"May 22, 2016",@ Oklahoma City,PST,L,133-105,L,-2.5,O,219.0
"May 24, 2016",@ Oklahoma City,PST,L,118-94,L,-1.5,U,222.0
"May 26, 2016",vs Oklahoma City,PST,W,120-111,W,-7.0,O,219.5
"May 28, 2016",@ Oklahoma City,PST,W,108-101,W,3.0,U,221.5
"May 30, 2016",vs Oklahoma City,PST,W,96-88,W,-7.0,U,219.0
"Jun 2, 2016",vs Cleveland,PST,W,104-89,W,-6.0,U,210.5
"Jun 5, 2016",vs Cleveland,PST,W,110-77,W,-6.0,U,209.0
"Jun 8, 2016",@ Cleveland,PST,L,120-90,L,1.5,O,206.0
"Jun 10, 2016",@ Cleveland,PST,W,108-97,W,2.5,U,206.5
"Jun 13, 2016",vs Cleveland,PST,L,112-97,L,-5.5,P,209.0
"Jun 16, 2016",@ Cleveland,PST,L,115-101,L,2.0,O,207.5
"Jun 19, 2016",vs Cleveland,PST,L,93-89,L,-5.0,U,205.0
