Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 28, 2015",@ Boston,REG,L,112-95,L,12.5,O,198.0
"Oct 30, 2015",vs Utah,REG,L,99-71,L,7.5,U,186.0
"Nov 2, 2015",vs Cleveland,REG,L,107-100,W,13.0,O,195.0
"Nov 4, 2015",@ Milwaukee,REG,L,91-87,W,8.5,U,195.0
"Nov 6, 2015",@ Cleveland,REG,L,108-102,W,13.5,O,196.0
"Nov 7, 2015",vs Orlando,REG,L,105-97,L,3.0,O,191.5
"Nov 9, 2015",vs Chicago,REG,L,111-88,L,10.5,O,198.0
"Nov 11, 2015",vs Toronto,REG,L,119-103,L,9.5,O,196.0
"Nov 13, 2015",@ Oklahoma City,REG,L,102-85,L,13.0,U,206.5
"Nov 14, 2015",@ San Antonio,REG,L,92-83,W,16.0,U,194.0
"Nov 16, 2015",vs Dallas,REG,L,92-86,W,8.0,U,203.5
"Nov 18, 2015",vs Indiana,REG,L,112-85,L,6.0,O,190.5
"Nov 20, 2015",@ Charlotte,REG,L,113-88,L,11.0,O,198.0
"Nov 21, 2015",@ Miami,REG,L,96-91,W,12.5,U,194.5
"Nov 23, 2015",@ Minnesota,REG,L,100-95,W,7.5,U,200.5
"Nov 25, 2015",@ Boston,REG,L,84-80,W,12.0,U,201.5
"Nov 27, 2015",@ Houston,REG,L,116-114,W,11.5,O,200.5
"Nov 29, 2015",@ Memphis,REG,L,92-84,W,13.0,U,193.0
"Dec 1, 2015",vs LA Lakers,REG,W,103-91,W,-1.0,U,195.0
"Dec 2, 2015",@ New York,REG,L,99-87,L,8.5,U,191.0
"Dec 5, 2015",vs Denver,REG,L,108-105,P,3.0,O,193.5
"Dec 7, 2015",vs San Antonio,REG,L,119-68,L,10.0,U,189.0
"Dec 10, 2015",@ Brooklyn,REG,L,100-91,L,6.5,U,198.5
"Dec 11, 2015",vs Detroit,REG,L,107-95,L,9.0,O,192.5
"Dec 13, 2015",@ Toronto,REG,L,96-76,L,11.5,U,192.5
"Dec 14, 2015",@ Chicago,REG,L,115-96,L,13.5,O,195.0
"Dec 16, 2015",@ Atlanta,REG,L,127-106,L,13.5,O,199.0
"Dec 18, 2015",vs New York,REG,L,107-97,L,5.5,O,196.0
"Dec 20, 2015",@ Cleveland,REG,L,108-86,L,16.5,U,198.0
"Dec 22, 2015",vs Memphis,REG,L,104-90,L,10.0,O,193.5
"Dec 23, 2015",@ Milwaukee,REG,L,113-100,L,11.0,O,196.0
"Dec 26, 2015",@ Phoenix,REG,W,111-104,W,11.5,O,205.0
"Dec 28, 2015",@ Utah,REG,L,95-91,W,8.5,U,195.0
"Dec 30, 2015",@ Sacramento,REG,W,110-105,W,10.5,U,215.5
"Jan 1, 2016",@ LA Lakers,REG,L,93-84,L,2.5,U,207.5
"Jan 2, 2016",@ LA Clippers,REG,L,130-99,L,14.0,O,203.5
"Jan 4, 2016",vs Minnesota,REG,W,109-99,W,6.5,O,204.0
