Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 28, 2015",vs LA Clippers,REG,L,111-104,L,6.0,O,211.0
"Oct 30, 2015",vs LA Lakers,REG,W,132-114,W,-7.0,O,211.5
"Oct 31, 2015",@ LA Clippers,REG,L,114-109,W,10.5,O,216.0
"Nov 3, 2015",vs Memphis,REG,L,103-89,L,4.0,U,196.5
"Nov 4, 2015",@ Phoenix,REG,L,118-97,L,9.5,O,209.0
"Nov 6, 2015",vs Houston,REG,L,116-110,L,4.5,O,219.0
"Nov 7, 2015",vs Golden State,REG,L,103-94,W,14.0,U,220.5
"Nov 9, 2015",vs San Antonio,REG,L,106-88,L,8.0,U,203.0
"Nov 11, 2015",vs Detroit,REG,W,101-92,W,2.0,U,205.5
"Nov 13, 2015",vs Brooklyn,REG,W,111-109,L,-6.5,O,204.0
"Nov 15, 2015",vs Toronto,REG,W,107-101,W,2.0,U,208.5
"Nov 18, 2015",@ Atlanta,REG,L,103-97,L,2.5,U,208.5
"Nov 19, 2015",@ Miami,REG,L,116-109,W,10.0,O,202.5
"Nov 21, 2015",@ Orlando,REG,W,97-91,W,3.0,U,209.5
"Nov 23, 2015",@ Charlotte,REG,L,127-122,L,3.5,O,211.0
"Nov 25, 2015",@ Milwaukee,REG,W,129-118,W,4.5,O,209.5
"Nov 27, 2015",vs Minnesota,REG,L,101-91,L,-3.0,U,216.0
"Nov 28, 2015",@ Golden State,REG,L,120-101,L,16.5,O,220.0
"Nov 30, 2015",vs Dallas,REG,W,112-98,W,-2.0,U,214.5
"Dec 3, 2015",vs Boston,REG,L,114-97,L,2.0,U,215.0
"Dec 5, 2015",@ Houston,REG,L,120-113,L,3.0,O,218.0
"Dec 6, 2015",@ Oklahoma City,REG,L,98-95,W,12.0,U,221.5
"Dec 8, 2015",vs Utah,REG,W,114-106,W,-2.5,O,206.0
"Dec 10, 2015",vs New York,REG,W,99-97,L,-6.0,U,210.0
"Dec 15, 2015",vs Houston,REG,W,107-97,W,-2.5,U,221.5
"Dec 18, 2015",@ Minnesota,REG,L,99-95,L,-2.5,U,213.0
"Dec 20, 2015",@ Toronto,REG,W,104-94,W,5.5,U,207.5
"Dec 21, 2015",@ Washington,REG,L,113-99,L,2.5,U,219.0
"Dec 23, 2015",@ Indiana,REG,W,108-106,W,7.0,U,215.0
"Dec 27, 2015",vs Portland,REG,L,98-94,L,-9.0,U,209.0
"Dec 28, 2015",@ Golden State,REG,L,122-103,L,14.0,O,220.0
"Dec 30, 2015",vs Philadelphia,REG,L,110-105,L,-10.5,U,215.5
"Jan 2, 2016",vs Phoenix,REG,W,142-119,W,-5.5,O,213.0
"Jan 4, 2016",@ Oklahoma City,REG,W,116-104,W,7.5,O,214.0
"Jan 5, 2016",@ Dallas,REG,L,117-116,W,7.0,O,213.5
"Jan 7, 2016",vs LA Lakers,REG,W,118-115,L,-8.5,O,214.5
"Jan 9, 2016",vs Golden State,REG,L,128-116,L,9.0,O,225.0
"Jan 13, 2016",vs New Orleans,REG,L,109-97,L,-6.5,U,216.0
"Jan 14, 2016",@ Utah,REG,W,103-101,W,2.5,O,200.5
"Jan 16, 2016",@ LA Clippers,REG,W,110-103,W,4.0,U,218.0
"Jan 20, 2016",@ LA Lakers,REG,W,112-93,W,-7.0,U,215.0
"Jan 21, 2016",vs Atlanta,REG,W,91-88,W,1.0,U,216.5
"Jan 23, 2016",vs Indiana,REG,W,108-97,W,-3.0,U,214.5
"Jan 25, 2016",vs Charlotte,REG,L,129-128,L,-8.0,O,214.0
"Jan 26, 2016",@ Portland,REG,L,112-97,L,5.0,U,214.0
"Jan 28, 2016",@ New Orleans,REG,L,114-105,L,-5.5,O,216.0
"Jan 30, 2016",@ Memphis,REG,L,121-117,P,4.0,O,207.0
"Feb 1, 2016",vs Milwaukee,REG,W,111-104,W,-1.5,O,214.0
"Feb 3, 2016",vs Chicago,REG,L,107-102,L,-4.0,U,212.0
"Feb 5, 2016",@ Brooklyn,REG,L,128-119,L,-5.5,O,214.0
"Feb 7, 2016",@ Boston,REG,L,128-119,L,7.5,O,216.5
"Feb 8, 2016",@ Cleveland,REG,L,120-100,L,12.0,O,218.0
"Feb 10, 2016",@ Philadelphia,REG,W,114-110,L,-5.5,O,220.0
"Feb 19, 2016",vs Denver,REG,W,116-110,W,-3.5,O,218.5
"Feb 23, 2016",@ Denver,REG,W,114-110,W,2.5,O,222.5
"Feb 24, 2016",vs San Antonio,REG,L,108-92,L,8.0,U,219.0
"Feb 26, 2016",vs LA Clippers,REG,L,117-107,L,5.0,O,218.5
"Feb 29, 2016",vs Oklahoma City,REG,L,131-116,L,8.5,O,227.5
"Mar 2, 2016",@ Memphis,REG,L,104-98,L,3.0,U,215.0
"Mar 3, 2016",@ Dallas,REG,W,104-101,W,6.5,U,223.0
