Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 28, 2015",@ Oklahoma City,REG,L,112-106,L,4.0,O,207.5
"Oct 30, 2015",vs Brooklyn,REG,W,102-75,W,-14.0,U,201.5
"Nov 1, 2015",@ Boston,REG,W,95-87,W,-5.5,U,202.5
"Nov 2, 2015",@ New York,REG,W,94-84,W,-7.5,U,203.0
"Nov 4, 2015",@ Washington,REG,L,102-99,L,-4.0,P,201.0
"Nov 7, 2015",vs Charlotte,REG,W,114-94,W,-9.5,O,193.5
"Nov 9, 2015",@ Sacramento,REG,W,106-88,W,-8.0,U,203.0
"Nov 11, 2015",@ Portland,REG,W,113-101,W,-6.5,O,205.5
"Nov 14, 2015",vs Philadelphia,REG,W,92-83,L,-16.0,U,194.0
"Nov 16, 2015",vs Portland,REG,W,93-80,W,-12.0,U,200.5
"Nov 18, 2015",vs Denver,REG,W,109-98,L,-13.5,O,198.0
"Nov 20, 2015",@ New Orleans,REG,L,104-90,L,-7.5,U,201.5
"Nov 21, 2015",vs Memphis,REG,W,92-82,W,-8.0,U,190.0
"Nov 23, 2015",vs Phoenix,REG,W,98-84,W,-9.5,U,196.5
"Nov 25, 2015",vs Dallas,REG,W,88-83,L,-10.0,U,197.5
"Nov 27, 2015",@ Denver,REG,W,91-80,W,-7.5,U,195.0
"Nov 28, 2015",vs Atlanta,REG,W,108-88,W,-7.0,O,193.0
"Nov 30, 2015",@ Chicago,REG,L,92-89,L,-4.5,U,189.0
"Dec 2, 2015",vs Milwaukee,REG,W,95-70,W,-12.0,U,186.5
"Dec 3, 2015",@ Memphis,REG,W,103-83,W,-3.0,O,183.5
"Dec 5, 2015",vs Boston,REG,W,108-105,L,-8.5,O,192.0
"Dec 7, 2015",@ Philadelphia,REG,W,119-68,W,-10.0,U,189.0
"Dec 9, 2015",@ Toronto,REG,L,97-94,L,-6.0,O,187.5
"Dec 11, 2015",vs LA Lakers,REG,W,109-87,W,-15.0,O,193.5
"Dec 12, 2015",@ Atlanta,REG,W,103-78,W,-3.0,U,190.5
"Dec 14, 2015",vs Utah,REG,W,118-81,W,-12.5,O,186.5
"Dec 16, 2015",vs Washington,REG,W,114-95,W,-13.0,O,198.0
"Dec 18, 2015",vs LA Clippers,REG,W,115-107,W,-7.5,O,195.5
"Dec 21, 2015",vs Indiana,REG,W,106-92,W,-9.0,U,199.0
"Dec 23, 2015",@ Minnesota,REG,W,108-83,W,-11.0,U,195.0
"Dec 25, 2015",@ Houston,REG,L,88-84,L,-7.0,U,204.5
"Dec 26, 2015",vs Denver,REG,W,101-86,W,-14.5,U,194.5
"Dec 28, 2015",vs Minnesota,REG,W,101-95,L,-13.5,O,195.5
"Dec 30, 2015",vs Phoenix,REG,W,112-79,W,-14.5,U,198.5
"Jan 2, 2016",vs Houston,REG,W,121-103,W,-11.0,O,201.5
"Jan 4, 2016",@ Milwaukee,REG,W,123-98,W,-9.5,O,192.0
"Jan 6, 2016",vs Utah,REG,W,123-98,W,-13.5,O,183.5
"Jan 8, 2016",vs New York,REG,W,100-99,L,-15.0,O,196.5
"Jan 11, 2016",@ Brooklyn,REG,W,106-79,W,-14.5,U,195.0
"Jan 12, 2016",@ Detroit,REG,W,109-99,W,-7.0,O,196.0
"Jan 14, 2016",vs Cleveland,REG,W,99-95,L,-6.0,U,195.5
"Jan 17, 2016",vs Dallas,REG,W,112-83,W,-12.5,U,195.5
"Jan 21, 2016",@ Phoenix,REG,W,117-89,W,-16.0,O,200.0
"Jan 22, 2016",@ LA Lakers,REG,W,108-95,L,-16.0,O,198.5
"Jan 25, 2016",@ Golden State,REG,L,120-90,L,4.5,U,211.5
"Jan 27, 2016",vs Houston,REG,W,130-99,W,-9.5,O,209.5
"Jan 30, 2016",@ Cleveland,REG,L,117-103,L,-1.5,O,202.5
"Feb 1, 2016",vs Orlando,REG,W,107-92,L,-15.5,U,202.5
"Feb 3, 2016",vs New Orleans,REG,W,110-97,W,-12.5,P,207.0
"Feb 5, 2016",@ Dallas,REG,W,116-90,W,-6.5,O,198.0
"Feb 6, 2016",vs LA Lakers,REG,W,106-102,L,-16.5,O,205.5
"Feb 9, 2016",@ Miami,REG,W,119-101,W,-6.5,O,196.0
"Feb 10, 2016",@ Orlando,REG,W,98-96,L,-8.5,U,202.5
"Feb 18, 2016",@ LA Clippers,REG,L,105-86,L,-1.0,U,206.0
"Feb 19, 2016",@ LA Lakers,REG,W,119-113,L,-10.0,O,200.5
"Feb 21, 2016",@ Phoenix,REG,W,118-111,L,-14.0,O,204.0
"Feb 24, 2016",@ Sacramento,REG,W,108-92,W,-8.0,U,219.0
"Feb 25, 2016",@ Utah,REG,W,96-78,W,-3.0,U,193.5
"Feb 27, 2016",@ Houston,REG,W,104-94,W,-5.5,U,213.0
"Mar 2, 2016",vs Detroit,REG,W,97-81,W,-11.0,U,201.0
"Mar 3, 2016",@ New Orleans,REG,W,94-86,L,-10.0,U,208.5
"Mar 5, 2016",vs Sacramento,REG,W,104-94,L,-11.5,U,212.5
"Mar 7, 2016",@ Indiana,REG,L,99-91,L,-6.5,U,195.0
"Mar 8, 2016",@ Minnesota,REG,W,116-91,W,-9.5,O,206.5
"Mar 10, 2016",vs Chicago,REG,W,109-101,L,-14.5,O,201.0
"Mar 12, 2016",vs Oklahoma City,REG,W,93-85,L,-9.0,U,211.5
"Mar 15, 2016",vs LA Clippers,REG,W,108-87,W,-9.5,U,201.0
"Mar 17, 2016",vs Portland,REG,W,118-110,L,-11.5,O,204.5
"Mar 19, 2016",vs Golden State,REG,W,87-79,W,-4.5,U,220.5
"Mar 21, 2016",@ Charlotte,REG,L,91-88,L,-6.0,U,196.0
"Mar 23, 2016",vs Miami,REG,W,112-88,W,-10.5,O,196.5
"Mar 25, 2016",vs Memphis,REG,W,110-104,L,-13.0,O,190.5
"Mar 26, 2016",@ Oklahoma City,REG,L,111-92,L,12.5,U,207.5
"Mar 28, 2016",@ Memphis,REG,W,101-87,W,-5.5,U,193.0
