Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 25, 2016",vs New York,REG,W,117-88,W,-9.5,U,206.5
"Oct 28, 2016",@ Toronto,REG,W,94-91,W,-2.5,U,205.5
"Oct 29, 2016",vs Orlando,REG,W,105-99,L,-11.0,P,204.0
"Nov 1, 2016",vs Houston,REG,W,128-120,L,-9.5,O,217.5
"Nov 3, 2016",vs Boston,REG,W,128-122,L,-10.5,O,207.0
"Nov 5, 2016",@ Philadelphia,REG,W,102-101,L,-12.5,U,208.5
"Nov 8, 2016",vs Atlanta,REG,L,110-106,L,-7.5,O,208.0
"Nov 11, 2016",@ Washington,REG,W,105-94,W,-7.5,U,211.5
"Nov 13, 2016",vs Charlotte,REG,W,100-93,P,-7.0,U,207.0
"Nov 15, 2016",vs Toronto,REG,W,121-117,L,-6.0,O,210.0
"Nov 16, 2016",@ Indiana,REG,L,103-93,L,2.5,U,208.5
"Nov 18, 2016",vs Detroit,REG,W,104-81,W,-8.5,U,202.5
"Nov 23, 2016",vs Portland,REG,W,137-125,W,-11.5,O,218.5
"Nov 25, 2016",vs Dallas,REG,W,128-90,W,-13.0,O,201.0
"Nov 27, 2016",@ Philadelphia,REG,W,112-108,L,-11.0,O,209.5
"Nov 29, 2016",@ Milwaukee,REG,L,118-101,L,-7.0,O,213.0
"Dec 1, 2016",vs LA Clippers,REG,L,113-94,L,-3.5,U,215.5
"Dec 2, 2016",@ Chicago,REG,L,111-105,L,-2.0,O,209.5
"Dec 5, 2016",@ Toronto,REG,W,116-112,W,2.0,O,214.5
"Dec 7, 2016",@ New York,REG,W,126-94,W,-8.5,O,213.5
"Dec 9, 2016",vs Miami,REG,W,114-84,W,-12.0,U,207.5
"Dec 10, 2016",vs Charlotte,REG,W,116-105,W,-7.5,O,213.5
"Dec 13, 2016",vs Memphis,REG,W,103-86,W,-15.0,U,201.5
"Dec 14, 2016",@ Memphis,REG,L,93-85,L,7.0,U,189.5
"Dec 17, 2016",vs LA Lakers,REG,W,119-108,L,-15.5,O,219.5
"Dec 20, 2016",@ Milwaukee,REG,W,114-108,W,-3.5,O,212.5
"Dec 21, 2016",vs Milwaukee,REG,W,113-102,W,-6.5,O,206.5
"Dec 23, 2016",vs Brooklyn,REG,W,119-99,W,-16.5,U,225.0
"Dec 25, 2016",vs Golden State,REG,W,109-108,W,3.5,U,219.0
"Dec 26, 2016",@ Detroit,REG,L,106-90,L,5.0,U,204.5
"Dec 29, 2016",vs Boston,REG,W,124-118,P,-6.0,O,217.0
"Dec 31, 2016",@ Charlotte,REG,W,121-109,W,-1.0,O,210.5
"Jan 2, 2017",vs New Orleans,REG,W,90-82,L,-9.0,U,217.0
"Jan 4, 2017",vs Chicago,REG,L,106-94,L,-3.5,U,204.0
"Jan 6, 2017",@ Brooklyn,REG,W,116-108,L,-13.0,O,221.0
"Jan 8, 2017",@ Phoenix,REG,W,120-116,L,-8.5,O,221.0
"Jan 10, 2017",@ Utah,REG,L,100-92,L,-1.0,U,203.5
"Jan 11, 2017",@ Portland,REG,L,102-86,L,-5.0,U,222.0
"Jan 13, 2017",@ Sacramento,REG,W,120-108,W,-6.5,O,214.5
"Jan 16, 2017",@ Golden State,REG,L,126-91,L,9.0,U,227.5
"Jan 19, 2017",vs Phoenix,REG,W,118-103,W,-11.5,O,220.5
"Jan 21, 2017",vs San Antonio,REG,L,118-115,L,-3.5,O,211.5
"Jan 23, 2017",@ New Orleans,REG,L,124-122,L,-10.0,O,215.5
"Jan 25, 2017",vs Sacramento,REG,L,116-112,L,-11.0,O,215.5
"Jan 27, 2017",vs Brooklyn,REG,W,124-116,L,-17.0,O,225.0
"Jan 29, 2017",vs Oklahoma City,REG,W,107-91,W,-8.0,U,217.5
"Jan 30, 2017",@ Dallas,REG,L,104-97,L,-4.5,U,208.5
"Feb 1, 2017",vs Minnesota,REG,W,125-97,W,-6.5,O,216.5
"Feb 4, 2017",@ New York,REG,W,111-104,W,-4.5,O,213.0
"Feb 6, 2017",@ Washington,REG,W,140-135,W,-1.5,O,218.5
"Feb 8, 2017",@ Indiana,REG,W,132-117,W,-3.5,O,216.0
"Feb 9, 2017",@ Oklahoma City,REG,L,118-109,L,1.5,O,219.0
"Feb 11, 2017",vs Denver,REG,W,125-109,W,-12.0,O,232.0
"Feb 14, 2017",@ Minnesota,REG,W,116-108,W,-3.5,O,219.0
"Feb 15, 2017",vs Indiana,REG,W,113-104,W,-6.0,U,219.0
"Feb 23, 2017",vs New York,REG,W,119-104,W,-10.5,P,223.0
"Feb 25, 2017",vs Chicago,REG,L,117-99,L,-6.0,O,210.0
"Feb 27, 2017",vs Milwaukee,REG,W,102-95,L,-9.5,U,218.5
"Mar 1, 2017",@ Boston,REG,L,103-99,L,1.5,U,224.0
"Mar 3, 2017",@ Atlanta,REG,W,135-130,W,-2.5,O,214.5
"Mar 4, 2017",@ Miami,REG,L,120-92,L,8.0,O,209.5
"Mar 6, 2017",vs Miami,REG,L,106-98,L,-9.5,U,214.0
"Mar 9, 2017",@ Detroit,REG,L,106-101,L,-4.5,U,215.0
"Mar 11, 2017",@ Orlando,REG,W,116-104,W,-8.5,O,215.5
"Mar 12, 2017",@ Houston,REG,L,117-112,W,7.0,U,236.0
"Mar 14, 2017",vs Detroit,REG,W,128-96,W,-7.0,O,215.0
"Mar 16, 2017",vs Utah,REG,W,91-83,L,-8.5,U,208.0
"Mar 18, 2017",@ LA Clippers,REG,L,108-78,L,14.0,U,213.5
"Mar 19, 2017",@ LA Lakers,REG,W,125-120,L,-12.0,O,222.5
"Mar 22, 2017",@ Denver,REG,L,126-113,L,-2.0,O,228.0
"Mar 24, 2017",@ Charlotte,REG,W,112-105,W,-3.5,O,210.0
"Mar 25, 2017",vs Washington,REG,L,127-115,L,-6.0,O,224.5
"Mar 27, 2017",@ San Antonio,REG,L,103-74,L,5.0,U,211.5
"Mar 30, 2017",@ Chicago,REG,L,99-93,L,-5.5,U,212.0
"Mar 31, 2017",vs Philadelphia,REG,W,122-105,W,-12.5,O,216.5
"Apr 2, 2017",vs Indiana,REG,W,135-130,L,-8.0,O,214.0
"Apr 4, 2017",vs Orlando,REG,W,122-102,W,-11.0,O,222.0
"Apr 5, 2017",@ Boston,REG,W,114-91,W,4.0,U,222.0
"Apr 7, 2017",vs Atlanta,REG,L,114-100,L,-15.0,O,212.5
"Apr 9, 2017",@ Atlanta,REG,L,126-125,L,-5.0,O,214.0
"Apr 10, 2017",@ Miami,REG,L,124-121,W,10.5,O,204.0
"Apr 12, 2017",vs Toronto,REG,L,98-83,L,4.0,U,201.5
"Apr 15, 2017",vs Indiana,PST,W,109-108,L,-9.0,O,208.5
"Apr 17, 2017",vs Indiana,PST,W,117-111,L,-9.0,O,209.5
"Apr 20, 2017",@ Indiana,PST,W,119-114,W,-1.5,O,210.0
"Apr 23, 2017",@ Indiana,PST,W,106-102,P,-4.0,U,214.0
"May 1, 2017",vs Toronto,PST,W,116-105,W,-7.0,O,211.0
"May 3, 2017",vs Toronto,PST,W,125-103,W,-7.0,O,214.0
"May 5, 2017",@ Toronto,PST,W,115-94,W,-3.0,U,215.5
"May 7, 2017",@ Toronto,PST,W,109-102,P,-7.0,O,209.5
"May 17, 2017",@ Boston,PST,W,117-104,W,-4.0,O,218.5
"May 19, 2017",@ Boston,PST,W,130-86,W,-5.0,U,219.0
"May 21, 2017",vs Boston,PST,L,111-108,L,-16.0,O,214.0
"May 23, 2017",vs Boston,PST,W,112-99,L,-15.5,U,216.0
"May 25, 2017",@ Boston,PST,W,135-102,W,-9.5,O,213.5
"Jun 1, 2017",@ Golden State,PST,L,113-91,L,7.5,U,225.0
"Jun 4, 2017",@ Golden State,PST,L,132-113,L,9.0,O,221.5
"Jun 7, 2017",vs Golden State,PST,L,118-113,L,3.5,O,227.0
"Jun 9, 2017",vs Golden State,PST,W,137-116,W,5.0,O,227.0
"Jun 12, 2017",@ Golden State,PST,L,129-120,P,9.0,O,231.5
