Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 26, 2016",@ Toronto,REG,L,109-91,L,6.5,O,196.5
"Oct 28, 2016",vs Orlando,REG,W,108-82,W,-4.0,U,195.0
"Oct 30, 2016",vs Milwaukee,REG,W,98-83,W,-7.5,U,197.5
"Nov 1, 2016",vs New York,REG,W,102-89,W,-3.5,U,202.0
"Nov 2, 2016",@ Brooklyn,REG,L,109-101,L,-4.0,O,204.0
"Nov 5, 2016",vs Denver,REG,W,103-86,W,-4.5,U,200.0
"Nov 7, 2016",@ LA Clippers,REG,L,114-82,L,8.5,U,197.5
"Nov 9, 2016",@ Phoenix,REG,L,107-100,L,-4.5,O,206.0
"Nov 11, 2016",@ San Antonio,REG,L,96-86,L,9.0,U,194.0
"Nov 12, 2016",@ Denver,REG,W,106-95,W,5.0,U,203.0
"Nov 14, 2016",vs Oklahoma City,REG,W,104-88,W,-3.0,U,202.0
"Nov 16, 2016",@ New York,REG,L,105-102,L,2.0,O,200.5
"Nov 18, 2016",@ Cleveland,REG,L,104-81,L,8.5,U,202.5
"Nov 19, 2016",vs Boston,REG,L,94-92,L,-2.0,U,199.5
"Nov 21, 2016",vs Houston,REG,L,99-96,L,2.5,U,207.5
"Nov 23, 2016",vs Miami,REG,W,107-84,W,-4.5,O,189.0
"Nov 25, 2016",vs LA Clippers,REG,W,108-97,W,6.5,O,200.5
"Nov 26, 2016",@ Oklahoma City,REG,L,106-88,L,3.5,U,203.0
"Nov 29, 2016",@ Charlotte,REG,W,112-89,W,3.5,O,200.0
"Nov 30, 2016",@ Boston,REG,W,121-114,W,7.5,O,197.5
"Dec 2, 2016",@ Atlanta,REG,W,121-85,W,1.5,O,198.5
"Dec 4, 2016",vs Orlando,REG,L,98-92,L,-7.5,U,195.5
"Dec 6, 2016",vs Chicago,REG,W,102-91,W,-5.5,U,201.0
"Dec 7, 2016",@ Charlotte,REG,L,87-77,L,5.5,U,203.0
"Dec 9, 2016",@ Minnesota,REG,W,117-90,W,-3.5,O,203.0
"Dec 11, 2016",vs Philadelphia,REG,L,97-79,L,-12.0,U,198.0
"Dec 14, 2016",@ Dallas,REG,W,95-85,W,-6.0,U,190.0
"Dec 16, 2016",@ Washington,REG,L,122-108,L,-1.5,O,205.0
"Dec 17, 2016",vs Indiana,REG,L,105-90,L,-4.5,U,200.5
"Dec 19, 2016",@ Chicago,REG,L,113-82,L,2.5,U,197.0
"Dec 21, 2016",vs Memphis,REG,L,98-86,L,-6.0,U,189.0
"Dec 23, 2016",vs Golden State,REG,L,119-113,W,7.0,O,214.5
"Dec 26, 2016",vs Cleveland,REG,W,106-90,W,-5.0,U,204.5
"Dec 28, 2016",vs Milwaukee,REG,L,119-94,L,-3.5,O,203.5
"Dec 30, 2016",@ Atlanta,REG,L,105-98,L,2.0,O,199.5
"Jan 1, 2017",@ Miami,REG,W,107-98,W,-6.5,O,198.0
"Jan 3, 2017",vs Indiana,REG,L,121-116,L,-5.0,O,205.0
"Jan 5, 2017",vs Charlotte,REG,W,115-114,L,-5.0,O,208.0
"Jan 8, 2017",@ Portland,REG,W,125-124,W,3.5,O,213.0
"Jan 10, 2017",@ Sacramento,REG,L,100-94,L,3.0,U,205.0
"Jan 12, 2017",@ Golden State,REG,L,127-107,L,13.5,O,218.0
"Jan 13, 2017",@ Utah,REG,L,110-77,L,11.5,U,191.0
"Jan 15, 2017",@ LA Lakers,REG,W,102-97,W,-2.0,U,213.0
"Jan 18, 2017",vs Atlanta,REG,W,118-95,W,2.5,O,199.5
"Jan 21, 2017",vs Washington,REG,W,113-112,L,-2.5,O,208.0
"Jan 23, 2017",vs Sacramento,REG,L,109-104,L,-7.0,O,205.0
"Jan 28, 2017",@ Miami,REG,L,116-103,L,-3.0,O,202.0
"Jan 30, 2017",@ Boston,REG,L,113-109,W,5.0,O,217.0
"Feb 1, 2017",vs New Orleans,REG,W,118-98,W,-7.0,O,210.5
"Feb 3, 2017",vs Minnesota,REG,W,116-108,W,-4.5,O,209.0
"Feb 4, 2017",@ Indiana,REG,L,105-84,L,3.0,U,209.5
"Feb 6, 2017",vs Philadelphia,REG,W,113-96,W,-8.5,U,211.0
"Feb 8, 2017",vs LA Lakers,REG,W,121-102,W,-6.5,O,218.5
"Feb 10, 2017",vs San Antonio,REG,L,103-92,L,5.0,U,209.0
"Feb 12, 2017",@ Toronto,REG,W,102-101,W,7.0,U,213.0
"Feb 13, 2017",@ Milwaukee,REG,L,102-89,L,2.5,U,209.5
"Feb 15, 2017",vs Dallas,REG,W,98-91,W,-4.5,U,200.5
"Feb 23, 2017",vs Charlotte,REG,W,114-108,W,-5.0,O,208.0
"Feb 26, 2017",vs Boston,REG,L,104-98,L,2.0,U,213.5
"Feb 28, 2017",vs Portland,REG,W,120-113,W,-4.0,O,213.5
