Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 26, 2016",@ LA Lakers,REG,L,120-114,L,-6.0,O,223.5
"Oct 28, 2016",@ Dallas,REG,W,106-98,W,-2.0,U,218.5
"Oct 30, 2016",vs Dallas,REG,W,93-92,L,-4.5,U,214.5
"Nov 1, 2016",@ Cleveland,REG,L,128-120,W,9.5,O,217.5
"Nov 2, 2016",@ New York,REG,W,118-99,W,0.0,U,218.0
"Nov 5, 2016",@ Atlanta,REG,L,112-97,L,3.0,U,217.5
"Nov 7, 2016",@ Washington,REG,W,114-106,W,1.0,O,217.0
"Nov 9, 2016",@ San Antonio,REG,W,101-99,W,8.5,U,212.0
"Nov 12, 2016",vs San Antonio,REG,L,106-100,L,1.5,U,208.0
"Nov 14, 2016",vs Philadelphia,REG,W,115-88,W,-11.5,U,214.0
"Nov 16, 2016",@ Oklahoma City,REG,L,105-103,W,2.5,U,218.5
"Nov 17, 2016",vs Portland,REG,W,126-109,W,-5.0,O,221.0
"Nov 19, 2016",vs Utah,REG,W,111-102,W,-6.5,O,200.5
"Nov 21, 2016",@ Detroit,REG,W,99-96,W,-2.5,U,207.5
"Nov 23, 2016",vs Toronto,REG,L,115-102,L,-4.0,O,216.5
"Nov 25, 2016",@ Sacramento,REG,W,117-104,W,-3.5,O,216.5
"Nov 27, 2016",@ Portland,REG,W,130-114,W,-1.5,O,225.5
"Nov 29, 2016",@ Utah,REG,L,120-101,L,-1.5,O,204.5
"Dec 1, 2016",@ Golden State,REG,W,132-127,W,11.5,O,232.0
"Dec 2, 2016",@ Denver,REG,W,128-110,W,4.0,O,220.0
"Dec 5, 2016",vs Boston,REG,W,107-106,L,-5.5,U,217.5
"Dec 7, 2016",vs LA Lakers,REG,W,134-95,W,-13.5,O,223.0
"Dec 9, 2016",@ Oklahoma City,REG,W,102-99,W,-2.0,U,224.5
"Dec 10, 2016",vs Dallas,REG,W,109-87,W,-12.5,U,209.0
"Dec 12, 2016",vs Brooklyn,REG,W,122-118,L,-13.5,O,229.5
"Dec 14, 2016",vs Sacramento,REG,W,132-98,W,-14.0,O,213.0
"Dec 16, 2016",vs New Orleans,REG,W,122-100,W,-11.5,U,224.0
"Dec 17, 2016",@ Minnesota,REG,W,111-109,L,-2.5,U,220.5
"Dec 20, 2016",vs San Antonio,REG,L,102-100,L,-1.0,U,213.5
"Dec 21, 2016",@ Phoenix,REG,W,125-111,W,-6.0,O,227.5
"Dec 23, 2016",@ Memphis,REG,L,115-109,L,-3.5,O,205.5
"Dec 26, 2016",vs Phoenix,REG,W,131-115,W,-12.5,O,230.0
"Dec 27, 2016",@ Dallas,REG,W,123-107,W,-5.0,O,209.0
"Dec 30, 2016",vs LA Clippers,REG,W,140-116,W,-10.5,O,216.5
"Dec 31, 2016",vs New York,REG,W,129-122,L,-12.5,O,224.5
"Jan 2, 2017",vs Washington,REG,W,101-91,W,-7.5,U,230.5
"Jan 5, 2017",vs Oklahoma City,REG,W,118-116,L,-8.0,O,227.5
"Jan 6, 2017",@ Orlando,REG,W,100-93,W,-5.0,U,224.0
"Jan 8, 2017",@ Toronto,REG,W,129-122,W,-2.0,O,227.5
"Jan 10, 2017",vs Charlotte,REG,W,121-114,L,-8.5,O,226.0
"Jan 11, 2017",@ Minnesota,REG,L,119-105,L,-3.0,O,218.5
"Jan 13, 2017",vs Memphis,REG,L,110-105,L,-7.5,U,216.0
"Jan 15, 2017",@ Brooklyn,REG,W,137-112,W,-14.0,O,234.5
"Jan 17, 2017",@ Miami,REG,L,109-103,L,-7.0,U,221.0
"Jan 18, 2017",vs Milwaukee,REG,W,111-92,W,-6.0,U,226.0
"Jan 20, 2017",vs Golden State,REG,L,125-108,L,5.5,U,242.0
"Jan 21, 2017",@ Memphis,REG,W,119-95,W,0.0,U,216.0
"Jan 23, 2017",@ Milwaukee,REG,L,127-114,L,-4.5,O,226.5
"Jan 25, 2017",@ Boston,REG,L,120-109,L,-4.0,P,229.0
"Jan 27, 2017",@ Philadelphia,REG,W,123-118,L,-7.0,O,221.0
"Jan 29, 2017",@ Indiana,REG,L,120-101,L,-3.0,U,229.0
"Jan 31, 2017",vs Sacramento,REG,W,105-83,W,-12.0,U,225.5
"Feb 2, 2017",vs Atlanta,REG,L,113-108,L,-9.5,U,225.5
"Feb 3, 2017",vs Chicago,REG,W,121-117,L,-9.5,O,222.0
"Feb 7, 2017",vs Orlando,REG,W,128-104,W,-12.5,O,223.5
"Feb 9, 2017",@ Charlotte,REG,W,107-95,W,-2.5,U,224.5
"Feb 11, 2017",vs Phoenix,REG,W,133-102,W,-16.0,O,233.0
"Feb 15, 2017",vs Miami,REG,L,117-109,L,-10.5,O,224.5
"Feb 23, 2017",@ New Orleans,REG,W,129-99,W,-3.5,U,230.5
"Feb 25, 2017",vs Minnesota,REG,W,142-130,L,-12.5,O,229.5
"Feb 27, 2017",vs Indiana,REG,L,117-108,L,-10.0,U,230.0
"Mar 1, 2017",@ LA Clippers,REG,W,122-103,W,2.0,U,235.5
"Mar 4, 2017",vs Memphis,REG,W,123-108,W,-8.5,O,221.5
"Mar 6, 2017",@ San Antonio,REG,L,112-110,W,3.5,O,221.5
"Mar 8, 2017",vs Utah,REG,L,115-108,L,-8.5,O,215.5
"Mar 10, 2017",@ Chicago,REG,W,115-94,W,-6.0,U,224.0
"Mar 12, 2017",vs Cleveland,REG,W,117-112,L,-7.0,U,236.0
"Mar 15, 2017",vs LA Lakers,REG,W,139-100,W,-17.5,O,235.0
"Mar 17, 2017",@ New Orleans,REG,L,128-112,L,-6.5,O,228.0
"Mar 18, 2017",@ Denver,REG,W,109-105,W,-2.0,U,240.5
"Mar 20, 2017",vs Denver,REG,W,125-124,L,-8.0,O,237.5
"Mar 24, 2017",vs New Orleans,REG,W,117-107,W,-8.0,U,231.0
"Mar 26, 2017",vs Oklahoma City,REG,W,137-125,W,-5.5,O,230.5
"Mar 28, 2017",vs Golden State,REG,L,113-106,L,-1.5,U,234.0
"Mar 30, 2017",@ Portland,REG,L,117-107,L,0.0,U,230.5
"Mar 31, 2017",@ Golden State,REG,L,107-98,P,9.0,U,232.5
"Apr 2, 2017",@ Phoenix,REG,W,123-116,L,-7.5,O,226.5
"Apr 5, 2017",vs Denver,REG,W,110-104,L,-7.5,U,241.0
"Apr 7, 2017",vs Detroit,REG,L,114-109,L,-11.0,U,224.0
"Apr 9, 2017",@ Sacramento,REG,W,135-128,L,-9.5,O,226.0
"Apr 10, 2017",@ LA Clippers,REG,L,125-96,L,9.5,U,231.5
"Apr 12, 2017",vs Minnesota,REG,W,123-118,L,-8.0,O,227.0
