Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 26, 2016",vs Houston,REG,W,120-114,W,6.0,O,223.5
"Oct 28, 2016",@ Utah,REG,L,96-89,W,9.0,U,200.5
"Oct 30, 2016",@ Oklahoma City,REG,L,113-96,L,8.5,U,216.0
"Nov 1, 2016",@ Indiana,REG,L,115-108,W,9.0,O,213.0
"Nov 2, 2016",@ Atlanta,REG,W,123-116,W,11.5,O,206.0
"Nov 4, 2016",vs Golden State,REG,W,117-97,W,11.5,U,230.0
"Nov 6, 2016",vs Phoenix,REG,W,119-108,W,-3.5,O,216.0
"Nov 8, 2016",vs Dallas,REG,L,109-97,L,-4.5,O,203.0
"Nov 10, 2016",@ Sacramento,REG,W,101-91,W,5.5,U,211.5
"Nov 12, 2016",@ New Orleans,REG,W,126-99,W,-1.0,O,216.0
"Nov 13, 2016",@ Minnesota,REG,L,125-99,L,1.0,O,213.5
"Nov 15, 2016",vs Brooklyn,REG,W,125-118,P,-7.0,O,219.0
"Nov 18, 2016",vs San Antonio,REG,L,116-107,L,7.5,O,209.5
"Nov 20, 2016",vs Chicago,REG,L,118-110,L,-2.5,O,209.5
"Nov 22, 2016",vs Oklahoma City,REG,W,111-109,W,3.0,O,219.5
"Nov 23, 2016",@ Golden State,REG,L,149-106,L,18.0,O,229.0
"Nov 25, 2016",vs Golden State,REG,L,109-85,L,13.5,U,230.0
"Nov 27, 2016",vs Atlanta,REG,W,109-94,W,5.5,U,209.5
"Nov 29, 2016",@ New Orleans,REG,L,105-88,L,5.5,U,218.5
"Nov 30, 2016",@ Chicago,REG,W,96-90,W,10.5,U,210.5
"Dec 2, 2016",@ Toronto,REG,L,113-80,L,10.0,U,214.5
"Dec 3, 2016",@ Memphis,REG,L,103-100,L,2.5,O,198.0
"Dec 5, 2016",vs Utah,REG,L,107-101,L,4.5,O,197.5
"Dec 7, 2016",@ Houston,REG,L,134-95,L,13.5,O,223.0
