Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 26, 2016",vs Minnesota,REG,W,102-98,W,1.5,O,199.5
"Oct 29, 2016",@ New York,REG,L,111-104,L,2.5,O,199.0
"Oct 30, 2016",vs Washington,REG,W,112-103,W,3.5,O,204.5
"Nov 1, 2016",@ Minnesota,REG,L,116-80,L,7.0,U,198.0
"Nov 2, 2016",vs New Orleans,REG,W,89-83,W,-5.0,U,207.0
"Nov 4, 2016",vs LA Clippers,REG,L,99-88,L,5.5,U,197.5
"Nov 6, 2016",vs Portland,REG,L,100-94,L,-1.0,U,204.0
"Nov 8, 2016",vs Denver,REG,W,108-107,L,-4.0,O,202.5
"Nov 12, 2016",@ Milwaukee,REG,L,106-96,L,3.0,O,201.5
"Nov 14, 2016",@ Utah,REG,W,102-96,W,6.0,O,189.5
"Nov 16, 2016",@ LA Clippers,REG,W,111-107,W,12.5,O,200.5
"Nov 18, 2016",@ Dallas,REG,W,80-64,W,-3.5,U,185.5
"Nov 19, 2016",vs Minnesota,REG,W,93-71,W,1.0,U,199.5
"Nov 21, 2016",@ Charlotte,REG,W,105-90,W,5.5,U,198.5
"Nov 23, 2016",@ Philadelphia,REG,W,104-99,L,-6.0,O,196.0
"Nov 25, 2016",vs Miami,REG,L,90-81,L,-5.0,U,185.0
"Nov 26, 2016",@ Miami,REG,W,110-107,W,-1.5,O,186.5
"Nov 28, 2016",vs Charlotte,REG,L,104-85,L,2.0,U,197.5
"Nov 30, 2016",@ Toronto,REG,L,120-105,L,12.0,O,195.5
"Dec 1, 2016",vs Orlando,REG,W,95-94,W,4.0,U,190.5
"Dec 3, 2016",vs LA Lakers,REG,W,103-100,W,-2.5,O,198.0
"Dec 5, 2016",@ New Orleans,REG,W,110-108,W,5.0,O,196.5
"Dec 6, 2016",vs Philadelphia,REG,W,96-91,L,-7.5,U,194.5
"Dec 8, 2016",vs Portland,REG,W,88-86,W,2.5,U,204.5
"Dec 10, 2016",vs Golden State,REG,W,110-89,W,13.0,U,211.5
"Dec 13, 2016",@ Cleveland,REG,L,103-86,L,15.0,U,201.5
"Dec 14, 2016",vs Cleveland,REG,W,93-85,W,-7.0,U,189.5
