Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 26, 2016",vs Denver,REG,L,107-102,L,-1.0,O,207.0
"Oct 28, 2016",vs Golden State,REG,L,122-114,W,11.5,O,223.0
"Oct 29, 2016",@ San Antonio,REG,L,98-79,L,13.5,U,203.5
"Nov 1, 2016",vs Milwaukee,REG,L,117-113,L,-3.5,O,204.5
"Nov 2, 2016",@ Memphis,REG,L,89-83,L,5.0,U,207.0
"Nov 4, 2016",vs Phoenix,REG,L,112-111,L,-2.5,O,210.5
"Nov 7, 2016",@ Golden State,REG,L,116-106,W,16.5,O,220.5
"Nov 8, 2016",@ Sacramento,REG,L,102-94,L,6.5,U,205.0
"Nov 10, 2016",@ Milwaukee,REG,W,112-106,W,5.5,O,208.0
"Nov 12, 2016",vs LA Lakers,REG,L,126-99,L,1.0,O,216.0
"Nov 14, 2016",vs Boston,REG,W,106-105,W,3.5,U,212.0
"Nov 16, 2016",@ Orlando,REG,L,89-82,P,7.0,U,199.0
"Nov 18, 2016",vs Portland,REG,W,113-101,W,0.0,U,214.5
"Nov 19, 2016",vs Charlotte,REG,W,121-116,W,2.0,O,207.0
"Nov 22, 2016",@ Atlanta,REG,W,112-94,W,8.0,U,209.5
"Nov 23, 2016",vs Minnesota,REG,W,117-96,W,2.0,O,210.0
"Nov 25, 2016",@ Portland,REG,L,119-104,L,4.0,O,217.0
"Nov 27, 2016",@ Dallas,REG,L,91-81,L,-5.5,U,197.0
"Nov 29, 2016",vs LA Lakers,REG,W,105-88,W,-5.5,U,218.5
"Dec 2, 2016",vs LA Clippers,REG,L,114-96,L,4.0,O,205.5
"Dec 4, 2016",@ Oklahoma City,REG,L,101-92,L,6.0,U,214.5
"Dec 5, 2016",vs Memphis,REG,L,110-108,L,-5.0,O,196.5
"Dec 8, 2016",vs Philadelphia,REG,L,99-88,L,-6.5,U,204.5
"Dec 10, 2016",@ LA Clippers,REG,L,133-105,L,14.0,O,200.0
"Dec 11, 2016",@ Phoenix,REG,W,120-119,W,2.0,O,216.0
"Dec 13, 2016",vs Golden State,REG,L,113-109,W,11.0,U,225.0
"Dec 15, 2016",vs Indiana,REG,W,102-95,W,-2.5,U,209.0
"Dec 16, 2016",@ Houston,REG,L,122-100,L,11.5,U,224.0
"Dec 18, 2016",@ San Antonio,REG,L,113-100,L,12.0,O,208.0
"Dec 20, 2016",@ Philadelphia,REG,W,108-93,W,-3.5,U,206.0
"Dec 21, 2016",vs Oklahoma City,REG,L,121-110,L,1.5,O,209.0
"Dec 23, 2016",vs Miami,REG,W,91-87,L,-5.0,U,205.5
"Dec 26, 2016",vs Dallas,REG,W,111-104,W,-4.5,O,199.5
"Dec 28, 2016",vs LA Clippers,REG,W,102-98,W,1.5,U,209.5
"Dec 30, 2016",vs New York,REG,W,104-92,W,-3.0,U,215.5
"Jan 2, 2017",@ Cleveland,REG,L,90-82,W,9.0,U,217.0
"Jan 5, 2017",vs Atlanta,REG,L,99-94,L,-2.0,U,208.5
"Jan 7, 2017",@ Boston,REG,L,117-108,L,6.0,O,212.0
"Jan 9, 2017",@ New York,REG,W,110-96,W,3.5,U,214.5
"Jan 12, 2017",@ Brooklyn,REG,W,104-95,W,2.5,U,214.5
"Jan 14, 2017",@ Chicago,REG,L,107-99,L,3.5,O,205.5
"Jan 16, 2017",@ Indiana,REG,L,98-95,W,5.0,U,214.0
"Jan 18, 2017",vs Orlando,REG,W,118-98,W,-5.0,O,210.5
"Jan 20, 2017",vs Brooklyn,REG,L,143-114,L,-10.0,O,221.5
"Jan 23, 2017",vs Cleveland,REG,W,124-122,W,10.0,O,215.5
"Jan 25, 2017",vs Oklahoma City,REG,L,114-105,L,1.5,O,217.5
"Jan 27, 2017",vs San Antonio,REG,W,119-103,W,7.0,O,211.5
"Jan 29, 2017",vs Washington,REG,L,107-94,L,1.0,U,221.5
"Jan 31, 2017",@ Toronto,REG,L,108-106,W,7.5,O,212.0
"Feb 1, 2017",@ Detroit,REG,L,118-98,L,7.0,O,210.5
"Feb 4, 2017",@ Washington,REG,L,105-91,L,6.5,U,216.5
"Feb 6, 2017",vs Phoenix,REG,W,111-106,L,-5.5,U,221.5
"Feb 8, 2017",vs Utah,REG,L,127-94,L,3.5,O,199.5
"Feb 10, 2017",@ Minnesota,REG,W,122-106,W,5.0,O,210.5
"Feb 12, 2017",@ Sacramento,REG,L,105-99,L,4.0,U,213.0
"Feb 13, 2017",@ Phoenix,REG,W,110-108,W,3.5,U,222.0
"Feb 15, 2017",@ Memphis,REG,W,95-91,W,8.0,U,205.0
"Feb 23, 2017",vs Houston,REG,L,129-99,L,3.5,U,230.5
"Feb 25, 2017",@ Dallas,REG,L,96-83,L,-2.0,U,204.5
"Feb 26, 2017",@ Oklahoma City,REG,L,118-110,L,6.5,O,217.5
"Mar 1, 2017",vs Detroit,REG,W,109-86,W,-2.5,U,209.5
"Mar 3, 2017",vs San Antonio,REG,L,101-98,W,6.0,U,207.0
"Mar 5, 2017",@ LA Lakers,REG,W,105-97,W,-6.0,U,217.5
"Mar 6, 2017",@ Utah,REG,L,88-83,P,5.0,U,196.5
"Mar 8, 2017",vs Toronto,REG,L,94-87,L,-3.5,U,204.0
"Mar 11, 2017",@ Charlotte,REG,W,125-122,W,3.5,O,204.0
"Mar 14, 2017",vs Portland,REG,W,100-77,W,-4.0,U,214.5
"Mar 15, 2017",@ Miami,REG,L,120-112,L,6.0,O,202.0
"Mar 17, 2017",vs Houston,REG,W,128-112,W,6.5,O,228.0
"Mar 19, 2017",vs Minnesota,REG,W,123-109,W,-3.5,O,208.5
"Mar 21, 2017",vs Memphis,REG,W,95-82,W,-2.5,U,207.0
"Mar 24, 2017",@ Houston,REG,L,117-107,L,8.0,U,231.0
"Mar 26, 2017",@ Denver,REG,W,115-90,W,7.5,U,226.0
"Mar 27, 2017",@ Utah,REG,L,108-100,L,6.0,O,196.0
"Mar 29, 2017",vs Dallas,REG,W,121-118,L,-6.0,O,201.0
"Mar 31, 2017",vs Sacramento,REG,W,117-89,W,-11.0,U,208.0
"Apr 2, 2017",vs Chicago,REG,L,117-110,L,-8.5,O,210.5
"Apr 4, 2017",vs Denver,REG,L,134-131,L,-3.0,O,228.5
"Apr 7, 2017",@ Denver,REG,L,122-106,L,7.5,U,229.5
"Apr 8, 2017",@ Golden State,REG,L,123-101,L,17.0,O,216.0
"Apr 11, 2017",@ LA Lakers,REG,L,108-96,L,2.5,U,218.5
"Apr 12, 2017",@ Portland,REG,W,103-100,W,6.5,O,202.5
