Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 25, 2016",@ Cleveland,REG,L,117-88,L,9.5,U,206.5
"Oct 29, 2016",vs Memphis,REG,W,111-104,W,-2.5,O,199.0
"Nov 1, 2016",@ Detroit,REG,L,102-89,L,3.5,U,202.0
"Nov 2, 2016",vs Houston,REG,L,118-99,L,0.0,U,218.0
"Nov 4, 2016",@ Chicago,REG,W,117-104,W,7.0,O,210.0
"Nov 6, 2016",vs Utah,REG,L,114-109,L,2.5,O,193.5
"Nov 9, 2016",vs Brooklyn,REG,W,110-96,W,-8.0,U,215.5
"Nov 11, 2016",@ Boston,REG,L,115-87,L,5.0,U,215.0
"Nov 12, 2016",@ Toronto,REG,L,118-107,L,7.5,O,208.5
"Nov 14, 2016",vs Dallas,REG,W,93-77,W,-4.0,U,202.5
"Nov 16, 2016",vs Detroit,REG,W,105-102,W,-2.0,O,200.5
"Nov 17, 2016",@ Washington,REG,L,119-112,L,5.0,O,208.0
"Nov 20, 2016",vs Atlanta,REG,W,104-94,W,4.5,U,209.0
"Nov 22, 2016",vs Portland,REG,W,107-103,W,-1.5,U,216.5
"Nov 25, 2016",vs Charlotte,REG,W,113-111,W,2.0,O,210.5
"Nov 26, 2016",@ Charlotte,REG,L,107-102,W,5.5,O,208.0
"Nov 28, 2016",vs Oklahoma City,REG,L,112-103,L,1.0,P,215.0
"Nov 30, 2016",@ Minnesota,REG,W,106-104,W,3.5,U,211.0
"Dec 2, 2016",vs Minnesota,REG,W,118-114,W,2.5,O,211.0
"Dec 4, 2016",vs Sacramento,REG,W,106-98,W,-1.5,U,209.0
"Dec 6, 2016",@ Miami,REG,W,114-103,W,1.5,O,205.5
"Dec 7, 2016",vs Cleveland,REG,L,126-94,L,8.5,O,213.5
"Dec 9, 2016",@ Sacramento,REG,W,103-100,W,5.5,U,210.0
"Dec 11, 2016",@ LA Lakers,REG,W,118-112,W,-2.5,O,217.0
"Dec 13, 2016",@ Phoenix,REG,L,113-111,L,-2.0,O,219.0
"Dec 15, 2016",@ Golden State,REG,L,103-90,W,17.0,U,222.5
"Dec 17, 2016",@ Denver,REG,L,127-114,L,4.0,O,215.5
"Dec 20, 2016",vs Indiana,REG,W,118-111,W,-4.5,O,210.5
"Dec 22, 2016",vs Orlando,REG,W,106-95,W,-4.5,U,210.5
"Dec 25, 2016",vs Boston,REG,L,119-114,L,2.0,O,210.5
"Dec 28, 2016",@ Atlanta,REG,L,102-98,W,5.5,U,210.5
"Dec 30, 2016",@ New Orleans,REG,L,104-92,L,3.0,U,215.5
"Dec 31, 2016",@ Houston,REG,L,129-122,W,12.5,O,224.5
"Jan 2, 2017",vs Orlando,REG,L,115-103,L,-4.0,O,209.5
"Jan 4, 2017",vs Milwaukee,REG,L,105-104,W,3.5,U,212.5
"Jan 6, 2017",@ Milwaukee,REG,W,116-111,W,5.0,O,213.5
"Jan 7, 2017",@ Indiana,REG,L,123-109,L,7.0,O,216.5
"Jan 9, 2017",vs New Orleans,REG,L,110-96,L,-3.5,U,214.5
"Jan 11, 2017",@ Philadelphia,REG,L,98-97,L,-2.0,U,211.0
"Jan 12, 2017",vs Chicago,REG,W,104-89,W,-3.0,U,207.5
"Jan 15, 2017",@ Toronto,REG,L,116-101,L,10.0,U,219.5
"Jan 16, 2017",vs Atlanta,REG,L,108-107,W,2.5,O,210.5
"Jan 18, 2017",@ Boston,REG,W,117-106,W,9.0,O,219.0
"Jan 19, 2017",vs Washington,REG,L,113-110,L,1.5,O,221.0
"Jan 21, 2017",vs Phoenix,REG,L,107-105,L,-4.5,U,223.5
"Jan 23, 2017",@ Indiana,REG,W,109-103,W,5.0,U,217.0
"Jan 25, 2017",@ Dallas,REG,L,103-95,L,2.5,U,200.5
"Jan 27, 2017",vs Charlotte,REG,W,110-107,W,1.0,O,211.5
"Jan 29, 2017",@ Atlanta,REG,L,142-139,W,6.0,O,209.5
"Jan 31, 2017",@ Washington,REG,L,117-101,L,8.5,O,215.0
"Feb 1, 2017",@ Brooklyn,REG,W,95-90,W,-2.5,U,224.5
"Feb 4, 2017",vs Cleveland,REG,L,111-104,L,4.5,O,213.0
"Feb 6, 2017",vs LA Lakers,REG,L,121-107,L,-5.0,O,222.5
"Feb 8, 2017",vs LA Clippers,REG,L,119-115,L,0.0,O,220.0
"Feb 10, 2017",vs Denver,REG,L,131-123,L,-1.5,O,229.0
"Feb 12, 2017",vs San Antonio,REG,W,94-90,W,9.5,U,211.0
"Feb 15, 2017",@ Oklahoma City,REG,L,116-105,L,7.5,O,218.0
"Feb 23, 2017",@ Cleveland,REG,L,119-104,L,10.5,P,223.0
"Feb 25, 2017",vs Philadelphia,REG,W,110-109,L,-6.5,U,220.0
"Feb 27, 2017",vs Toronto,REG,L,92-91,W,3.5,U,210.5
"Mar 1, 2017",@ Orlando,REG,W,101-90,W,2.5,U,215.0
"Mar 3, 2017",@ Philadelphia,REG,L,105-102,L,-1.5,U,217.0
