Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 26, 2016",@ Philadelphia,REG,W,103-97,L,-9.5,U,209.0
"Oct 28, 2016",vs Phoenix,REG,W,113-110,L,-8.0,O,208.5
"Oct 30, 2016",vs LA Lakers,REG,W,113-96,W,-8.5,U,216.0
"Nov 2, 2016",@ LA Clippers,REG,W,85-83,W,7.0,U,208.5
"Nov 3, 2016",@ Golden State,REG,L,122-96,L,12.0,U,222.5
"Nov 5, 2016",vs Minnesota,REG,W,112-92,W,-4.5,U,210.0
"Nov 7, 2016",vs Miami,REG,W,97-85,W,-5.5,U,203.0
"Nov 9, 2016",vs Toronto,REG,L,112-102,L,-4.0,O,204.0
"Nov 11, 2016",vs LA Clippers,REG,L,110-108,W,5.0,O,206.0
"Nov 13, 2016",vs Orlando,REG,L,119-117,L,-9.5,O,204.0
"Nov 14, 2016",@ Detroit,REG,L,104-88,L,3.0,U,202.0
"Nov 16, 2016",vs Houston,REG,W,105-103,L,-2.5,U,218.5
"Nov 18, 2016",vs Brooklyn,REG,W,124-105,W,-9.5,O,216.0
"Nov 20, 2016",vs Indiana,REG,L,115-111,L,-9.5,O,210.5
"Nov 22, 2016",@ LA Lakers,REG,L,111-109,L,-3.0,O,219.5
"Nov 23, 2016",@ Sacramento,REG,L,116-101,L,2.0,O,214.0
"Nov 25, 2016",@ Denver,REG,W,132-129,W,-2.5,O,215.0
"Nov 26, 2016",vs Detroit,REG,W,106-88,W,-3.5,U,203.0
"Nov 28, 2016",@ New York,REG,W,112-103,W,-1.0,P,215.0
"Nov 30, 2016",vs Washington,REG,W,126-115,W,-6.0,O,213.5
"Dec 4, 2016",vs New Orleans,REG,W,101-92,W,-6.0,U,214.5
"Dec 5, 2016",@ Atlanta,REG,W,102-99,W,4.0,U,213.0
"Dec 9, 2016",vs Houston,REG,L,102-99,L,2.0,U,224.5
"Dec 11, 2016",vs Boston,REG,W,99-96,L,-3.5,U,207.5
"Dec 13, 2016",@ Portland,REG,L,114-95,L,2.0,U,218.5
"Dec 14, 2016",@ Utah,REG,L,109-89,L,7.5,U,199.0
"Dec 17, 2016",vs Phoenix,REG,W,114-101,W,-6.0,U,215.5
"Dec 19, 2016",vs Atlanta,REG,L,110-108,L,-3.0,O,211.5
"Dec 21, 2016",@ New Orleans,REG,W,121-110,W,-1.5,O,209.0
