Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 26, 2016",vs Miami,REG,L,108-96,L,-3.5,O,199.0
"Oct 28, 2016",@ Detroit,REG,L,108-82,L,4.0,U,195.0
"Oct 29, 2016",@ Cleveland,REG,L,105-99,W,11.0,P,204.0
"Nov 1, 2016",@ Philadelphia,REG,W,103-101,L,-5.5,O,198.5
"Nov 3, 2016",vs Sacramento,REG,W,102-94,W,1.0,U,198.0
"Nov 5, 2016",vs Washington,REG,W,88-86,L,-6.0,U,201.0
"Nov 7, 2016",@ Chicago,REG,L,112-80,L,6.5,U,198.5
"Nov 9, 2016",vs Minnesota,REG,L,123-107,L,-2.5,O,201.0
"Nov 11, 2016",vs Utah,REG,L,87-74,L,5.0,U,191.0
"Nov 13, 2016",@ Oklahoma City,REG,W,119-117,W,9.5,O,204.0
"Nov 14, 2016",@ Indiana,REG,L,88-69,L,8.0,U,206.5
"Nov 16, 2016",vs New Orleans,REG,W,89-82,P,-7.0,U,199.0
"Nov 19, 2016",vs Dallas,REG,W,95-87,W,-7.5,O,179.0
"Nov 21, 2016",@ Milwaukee,REG,L,93-89,W,6.5,U,200.5
"Nov 23, 2016",vs Phoenix,REG,L,92-87,L,-4.0,U,209.5
"Nov 25, 2016",vs Washington,REG,L,94-91,L,2.0,U,198.5
"Nov 27, 2016",vs Milwaukee,REG,L,104-96,L,-1.0,O,196.5
"Nov 29, 2016",@ San Antonio,REG,W,95-83,W,12.5,U,194.5
"Dec 1, 2016",@ Memphis,REG,L,95-94,L,-4.0,U,190.5
"Dec 2, 2016",@ Philadelphia,REG,W,105-88,W,1.5,U,198.5
"Dec 4, 2016",@ Detroit,REG,W,98-92,W,7.5,U,195.5
"Dec 6, 2016",@ Washington,REG,W,124-116,W,3.0,O,200.0
"Dec 7, 2016",vs Boston,REG,L,117-87,L,1.5,O,195.5
"Dec 9, 2016",@ Charlotte,REG,L,109-88,L,6.5,U,204.0
"Dec 10, 2016",vs Denver,REG,L,121-113,L,2.0,O,205.5
"Dec 13, 2016",@ Atlanta,REG,W,131-120,W,8.5,O,200.5
"Dec 14, 2016",vs LA Clippers,REG,L,113-108,W,8.5,O,210.0
"Dec 16, 2016",vs Brooklyn,REG,W,118-111,P,-7.0,O,217.0
"Dec 18, 2016",vs Toronto,REG,L,109-79,L,6.0,U,212.5
"Dec 20, 2016",@ Miami,REG,W,136-130,W,3.5,O,199.0
"Dec 22, 2016",@ New York,REG,L,106-95,L,4.5,U,210.5
"Dec 23, 2016",vs LA Lakers,REG,W,109-90,W,-4.5,U,209.5
"Dec 26, 2016",vs Memphis,REG,W,112-102,W,3.5,O,193.0
"Dec 28, 2016",vs Charlotte,REG,L,120-101,L,4.5,O,204.5
"Jan 1, 2017",@ Indiana,REG,L,117-104,L,5.5,O,209.5
"Jan 2, 2017",@ New York,REG,W,115-103,W,4.0,O,209.5
"Jan 4, 2017",vs Atlanta,REG,L,111-92,L,2.0,U,207.0
"Jan 6, 2017",vs Houston,REG,L,100-93,L,5.0,U,224.0
"Jan 8, 2017",@ LA Lakers,REG,L,111-95,L,2.5,U,217.0
"Jan 11, 2017",@ LA Clippers,REG,L,105-96,W,10.0,U,209.0
"Jan 13, 2017",@ Portland,REG,W,115-109,W,7.0,O,213.5
"Jan 14, 2017",@ Utah,REG,L,114-107,W,11.0,O,194.5
"Jan 16, 2017",@ Denver,REG,L,125-112,L,6.0,O,223.5
"Jan 18, 2017",@ New Orleans,REG,L,118-98,L,5.0,O,210.5
"Jan 20, 2017",vs Milwaukee,REG,W,112-96,W,3.5,U,211.5
"Jan 22, 2017",vs Golden State,REG,L,118-98,L,13.5,U,224.5
"Jan 24, 2017",vs Chicago,REG,L,100-92,L,3.0,U,204.0
"Jan 27, 2017",@ Boston,REG,L,128-98,L,7.0,O,213.0
"Jan 29, 2017",@ Toronto,REG,W,114-113,W,11.0,O,211.5
"Jan 30, 2017",@ Minnesota,REG,L,111-105,W,8.0,O,212.5
"Feb 1, 2017",vs Indiana,REG,L,98-88,L,2.5,U,212.5
"Feb 3, 2017",vs Toronto,REG,W,102-94,W,5.0,U,206.5
"Feb 4, 2017",@ Atlanta,REG,L,113-86,L,7.0,U,210.0
"Feb 7, 2017",@ Houston,REG,L,128-104,L,12.5,O,223.5
"Feb 9, 2017",vs Philadelphia,REG,L,112-111,L,-6.5,O,209.0
"Feb 11, 2017",@ Dallas,REG,L,112-80,L,6.5,U,203.5
"Feb 13, 2017",@ Miami,REG,W,116-107,W,7.5,O,207.5
"Feb 15, 2017",vs San Antonio,REG,L,107-79,L,10.0,U,207.0
"Feb 23, 2017",vs Portland,REG,L,112-103,L,3.0,U,217.0
"Feb 25, 2017",vs Atlanta,REG,W,105-86,W,3.5,U,209.0
"Mar 1, 2017",vs New York,REG,L,101-90,L,-2.5,U,215.0
"Mar 3, 2017",vs Miami,REG,W,110-99,W,4.5,U,210.0
"Mar 5, 2017",@ Washington,REG,L,115-114,W,12.0,O,217.0
"Mar 6, 2017",vs New York,REG,L,113-105,L,-3.0,O,207.5
"Mar 8, 2017",vs Chicago,REG,W,98-91,W,0.0,U,204.5
"Mar 10, 2017",@ Charlotte,REG,L,121-81,L,9.0,U,203.0
"Mar 11, 2017",vs Cleveland,REG,L,116-104,L,8.5,O,215.5
"Mar 13, 2017",@ Sacramento,REG,L,120-115,L,-1.5,O,206.5
"Mar 16, 2017",@ Golden State,REG,L,122-92,L,14.0,U,220.0
"Mar 17, 2017",@ Phoenix,REG,W,109-103,W,2.0,U,220.5
"Mar 20, 2017",vs Philadelphia,REG,W,112-109,L,-6.0,O,218.5
"Mar 22, 2017",vs Charlotte,REG,L,109-102,L,4.5,O,206.5
"Mar 24, 2017",vs Detroit,REG,W,115-87,W,2.0,U,207.5
"Mar 27, 2017",@ Toronto,REG,L,131-112,L,7.0,O,208.5
"Mar 29, 2017",vs Oklahoma City,REG,L,114-106,L,5.0,U,221.5
"Mar 31, 2017",@ Boston,REG,L,117-116,W,10.5,O,216.0
"Apr 1, 2017",@ Brooklyn,REG,L,121-111,L,4.0,O,222.0
"Apr 4, 2017",@ Cleveland,REG,L,122-102,L,11.0,O,222.0
"Apr 6, 2017",vs Brooklyn,REG,W,115-107,W,-1.0,P,222.0
"Apr 8, 2017",vs Indiana,REG,L,127-112,L,4.5,O,212.5
"Apr 10, 2017",@ Chicago,REG,L,122-75,L,8.0,U,214.5
"Apr 12, 2017",vs Detroit,REG,W,113-109,W,-1.5,O,205.5
