Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 25, 2016",@ Portland,REG,L,113-104,L,6.0,O,192.0
"Oct 28, 2016",vs LA Lakers,REG,W,96-89,L,-9.0,U,200.5
"Oct 30, 2016",@ LA Clippers,REG,L,88-75,L,7.5,U,189.5
"Nov 1, 2016",@ San Antonio,REG,W,106-91,W,9.5,O,186.0
"Nov 2, 2016",vs Dallas,REG,W,97-81,W,-3.5,U,185.5
"Nov 4, 2016",vs San Antonio,REG,L,100-86,L,3.5,O,183.5
"Nov 6, 2016",@ New York,REG,W,114-109,W,-2.5,O,193.5
"Nov 7, 2016",@ Philadelphia,REG,W,109-84,W,-5.0,O,190.5
"Nov 9, 2016",@ Charlotte,REG,L,104-98,L,3.0,O,193.0
"Nov 11, 2016",@ Orlando,REG,W,87-74,W,-5.0,U,191.0
"Nov 12, 2016",@ Miami,REG,W,102-91,W,-1.5,O,187.0
"Nov 14, 2016",vs Memphis,REG,L,102-96,L,-6.0,O,189.5
"Nov 17, 2016",vs Chicago,REG,L,85-77,L,-3.0,U,193.0
"Nov 19, 2016",@ Houston,REG,L,111-102,L,6.5,O,200.5
"Nov 20, 2016",@ Denver,REG,L,105-91,L,3.5,U,197.5
"Nov 23, 2016",vs Denver,REG,W,108-83,W,-7.5,U,198.5
"Nov 25, 2016",vs Atlanta,REG,W,95-68,W,-3.5,U,196.0
"Nov 28, 2016",@ Minnesota,REG,W,112-103,W,-3.0,O,193.5
"Nov 29, 2016",vs Houston,REG,W,120-101,W,1.5,O,204.5
"Dec 1, 2016",vs Miami,REG,L,111-110,L,-7.0,O,186.5
"Dec 3, 2016",vs Denver,REG,W,105-98,P,-7.0,O,201.0
"Dec 5, 2016",@ LA Lakers,REG,W,107-101,W,-4.5,O,197.5
"Dec 6, 2016",vs Phoenix,REG,W,112-105,W,-6.5,O,204.0
"Dec 8, 2016",vs Golden State,REG,L,106-99,W,11.5,U,208.0
"Dec 10, 2016",vs Sacramento,REG,W,104-84,W,-5.5,U,196.5
"Dec 14, 2016",vs Oklahoma City,REG,W,109-89,W,-7.5,U,199.0
"Dec 16, 2016",vs Dallas,REG,W,103-100,L,-11.0,O,186.0
"Dec 18, 2016",@ Memphis,REG,W,82-73,W,-1.5,U,185.5
"Dec 20, 2016",@ Golden State,REG,L,104-74,L,12.5,U,210.5
"Dec 21, 2016",vs Sacramento,REG,L,94-93,L,-8.0,U,193.5
"Dec 23, 2016",vs Toronto,REG,L,104-98,L,1.0,O,198.5
