Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 18, 2017",vs Brooklyn,REG,W,140-131,W,-3.0,O,217.0
"Oct 20, 2017",vs Portland,REG,L,114-96,L,5.5,U,218.5
"Oct 21, 2017",@ Miami,REG,L,112-108,W,9.5,O,214.5
"Oct 24, 2017",@ Minnesota,REG,W,130-107,W,10.5,O,218.0
"Oct 25, 2017",@ Oklahoma City,REG,L,114-96,L,13.5,U,217.5
"Oct 29, 2017",vs San Antonio,REG,W,97-94,W,6.5,U,208.5
"Oct 31, 2017",vs Sacramento,REG,W,101-83,W,-5.5,U,206.5
"Nov 1, 2017",@ Cleveland,REG,W,124-107,W,10.0,O,217.5
"Nov 3, 2017",@ Philadelphia,REG,L,121-110,L,5.0,O,217.0
"Nov 5, 2017",@ New York,REG,L,108-101,L,-1.0,U,216.0
"Nov 7, 2017",vs New Orleans,REG,L,117-112,L,1.5,O,217.5
"Nov 8, 2017",@ Detroit,REG,L,114-97,L,6.5,O,210.0
"Nov 10, 2017",@ Chicago,REG,W,105-87,W,-3.5,U,202.0
"Nov 12, 2017",vs Houston,REG,L,118-95,L,3.5,U,226.0
"Nov 15, 2017",@ Memphis,REG,W,116-113,W,3.0,O,203.5
"Nov 17, 2017",vs Detroit,REG,W,107-100,W,-1.0,U,211.5
"Nov 19, 2017",@ Miami,REG,W,120-95,W,5.5,O,208.5
"Nov 20, 2017",@ Orlando,REG,W,105-97,W,3.5,U,218.5
"Nov 24, 2017",vs Toronto,REG,W,107-104,W,2.0,U,216.5
"Nov 25, 2017",vs Boston,REG,L,108-98,L,3.5,O,204.5
"Nov 27, 2017",vs Orlando,REG,W,121-109,W,-4.5,O,218.5
"Nov 29, 2017",@ Houston,REG,L,118-97,L,11.0,U,224.5
"Dec 1, 2017",@ Toronto,REG,L,120-115,W,7.0,O,217.0
"Dec 4, 2017",vs New York,REG,W,115-97,W,-11.0,P,212.0
"Dec 6, 2017",vs Chicago,REG,W,98-96,L,-10.0,U,206.5
"Dec 8, 2017",vs Cleveland,REG,W,106-102,W,3.5,U,221.0
"Dec 10, 2017",vs Denver,REG,W,126-116,W,-5.0,O,217.5
"Dec 13, 2017",vs Oklahoma City,REG,L,100-95,L,1.0,U,214.0
"Dec 15, 2017",vs Detroit,REG,L,104-98,L,-5.0,U,207.5
"Dec 17, 2017",@ Brooklyn,REG,W,109-97,W,-3.5,U,219.5
"Dec 18, 2017",vs Boston,REG,L,112-111,W,2.5,O,206.5
"Dec 20, 2017",@ Atlanta,REG,W,105-95,W,-4.5,U,213.0
"Dec 23, 2017",vs Brooklyn,REG,W,123-119,L,-9.5,O,216.0
"Dec 26, 2017",@ Detroit,REG,L,107-83,L,1.5,U,207.5
"Dec 27, 2017",vs Dallas,REG,L,98-94,L,-3.5,U,203.0
"Dec 29, 2017",@ Chicago,REG,L,119-107,L,3.0,O,206.5
"Dec 31, 2017",vs Minnesota,REG,L,107-90,L,3.0,U,208.5
"Jan 3, 2018",@ Milwaukee,REG,L,122-101,L,7.5,O,209.0
"Jan 6, 2018",vs Chicago,REG,W,125-86,W,-5.5,U,212.5
"Jan 8, 2018",vs Milwaukee,REG,W,109-96,W,-1.5,U,216.0
"Jan 10, 2018",vs Miami,REG,L,114-106,L,-4.5,O,202.5
"Jan 12, 2018",vs Cleveland,REG,W,97-95,W,1.5,U,221.0
"Jan 14, 2018",@ Phoenix,REG,W,120-97,W,-3.5,U,220.0
"Jan 15, 2018",@ Utah,REG,W,109-94,W,5.0,U,207.0
"Jan 18, 2018",@ Portland,REG,L,100-86,L,4.5,U,214.5
"Jan 19, 2018",@ LA Lakers,REG,L,99-86,L,-2.0,U,213.5
"Jan 21, 2018",@ San Antonio,REG,W,94-86,W,6.0,U,200.0
"Jan 24, 2018",vs Phoenix,REG,W,116-101,W,-6.5,O,214.0
"Jan 26, 2018",@ Cleveland,REG,L,115-108,L,6.0,P,223.0
"Jan 27, 2018",vs Orlando,REG,W,114-112,L,-6.5,O,214.0
"Jan 29, 2018",vs Charlotte,REG,W,105-96,W,-2.0,U,212.0
"Jan 31, 2018",vs Memphis,REG,W,105-101,L,-7.0,O,202.0
"Feb 2, 2018",@ Charlotte,REG,L,133-126,L,3.5,O,210.0
"Feb 3, 2018",vs Philadelphia,REG,W,100-92,W,-1.0,U,211.0
"Feb 5, 2018",vs Washington,REG,L,111-102,L,3.5,O,211.0
"Feb 9, 2018",@ Boston,REG,W,97-91,W,4.0,U,203.5
"Feb 11, 2018",vs New York,REG,W,121-113,W,-7.5,O,210.0
"Feb 14, 2018",@ Brooklyn,REG,W,108-103,W,-3.5,U,211.5
"Feb 23, 2018",vs Atlanta,REG,W,116-93,W,-7.0,P,209.0
"Feb 26, 2018",@ Dallas,REG,L,109-103,L,-3.0,O,211.0
"Feb 28, 2018",@ Atlanta,REG,L,107-102,L,-4.5,U,213.5
"Mar 2, 2018",@ Milwaukee,REG,W,103-96,W,3.5,U,210.5
"Mar 4, 2018",@ Washington,REG,W,98-95,W,4.0,U,211.5
"Mar 5, 2018",vs Milwaukee,REG,W,92-89,W,-2.5,U,210.0
"Mar 7, 2018",vs Utah,REG,L,104-84,L,1.5,U,201.0
"Mar 9, 2018",vs Atlanta,REG,W,112-87,W,-8.5,U,211.5
"Mar 11, 2018",@ Boston,REG,W,99-97,W,4.5,U,209.0
"Mar 13, 2018",@ Philadelphia,REG,W,101-98,W,6.5,U,212.5
"Mar 15, 2018",vs Toronto,REG,L,106-99,L,4.0,U,212.5
"Mar 17, 2018",@ Washington,REG,L,109-102,L,4.5,O,210.5
"Mar 19, 2018",vs LA Lakers,REG,W,110-100,W,-5.0,U,219.5
"Mar 21, 2018",@ New Orleans,REG,L,96-92,L,1.0,U,220.0
"Mar 23, 2018",vs LA Clippers,REG,W,109-104,W,-3.5,U,217.5
"Mar 25, 2018",vs Miami,REG,W,113-107,W,-3.5,O,205.0
