Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 18, 2017",@ San Antonio,REG,L,107-99,L,1.0,O,203.5
"Oct 20, 2017",vs Utah,REG,W,100-97,L,-4.5,P,197.0
"Oct 22, 2017",@ Oklahoma City,REG,W,115-113,W,4.0,O,210.5
"Oct 24, 2017",vs Indiana,REG,L,130-107,L,-10.5,O,218.0
"Oct 25, 2017",@ Detroit,REG,L,122-101,L,2.5,O,209.0
"Oct 27, 2017",vs Oklahoma City,REG,W,119-116,W,2.0,O,218.0
"Oct 30, 2017",@ Miami,REG,W,125-122,P,-3.0,O,216.0
"Nov 1, 2017",@ New Orleans,REG,W,104-98,W,2.5,U,224.0
"Nov 4, 2017",vs Dallas,REG,W,112-99,W,-12.0,U,214.0
"Nov 5, 2017",vs Charlotte,REG,W,112-94,W,-5.0,U,218.0
"Nov 8, 2017",@ Golden State,REG,L,125-101,L,8.5,U,227.0
"Nov 11, 2017",@ Phoenix,REG,L,118-110,L,-10.0,U,232.5
"Nov 13, 2017",@ Utah,REG,W,109-98,W,-3.0,U,209.5
"Nov 15, 2017",vs San Antonio,REG,W,98-86,W,-5.0,U,209.0
"Nov 17, 2017",@ Dallas,REG,W,111-87,W,-6.0,U,211.5
"Nov 19, 2017",vs Detroit,REG,L,100-97,L,-6.0,U,208.5
"Nov 20, 2017",@ Charlotte,REG,L,118-102,L,2.5,O,211.0
"Nov 22, 2017",vs Orlando,REG,W,124-118,L,-7.0,O,217.5
"Nov 24, 2017",vs Miami,REG,L,109-97,L,-3.5,U,207.0
"Nov 26, 2017",vs Phoenix,REG,W,119-108,P,-11.0,O,220.0
"Nov 28, 2017",vs Washington,REG,L,92-89,L,-5.0,U,209.5
"Nov 29, 2017",@ New Orleans,REG,W,120-102,W,6.0,O,215.0
"Dec 1, 2017",@ Oklahoma City,REG,L,111-107,W,5.5,O,208.0
"Dec 3, 2017",vs LA Clippers,REG,W,112-106,L,-12.0,O,214.0
"Dec 4, 2017",@ Memphis,REG,L,95-92,L,-3.0,U,201.0
"Dec 6, 2017",@ LA Clippers,REG,W,113-107,W,-5.5,O,210.5
"Dec 10, 2017",vs Dallas,REG,W,97-92,L,-8.0,U,207.5
"Dec 12, 2017",vs Philadelphia,REG,L,118-112,L,-5.0,O,215.5
"Dec 14, 2017",vs Sacramento,REG,W,119-96,W,-11.0,O,201.5
"Dec 16, 2017",vs Phoenix,REG,L,108-106,L,-12.0,U,217.5
"Dec 18, 2017",vs Portland,REG,W,108-107,L,-4.5,O,207.5
"Dec 20, 2017",@ Denver,REG,W,112-104,W,1.0,O,214.5
"Dec 23, 2017",@ Phoenix,REG,W,115-106,W,-8.0,O,216.5
"Dec 25, 2017",@ LA Lakers,REG,W,121-104,W,-6.0,O,216.0
"Dec 27, 2017",vs Denver,REG,W,128-125,L,-5.0,O,211.5
"Dec 28, 2017",@ Milwaukee,REG,L,102-96,L,4.0,U,212.0
"Dec 31, 2017",@ Indiana,REG,W,107-90,W,-3.0,U,208.5
"Jan 1, 2018",vs LA Lakers,REG,W,114-96,W,-9.5,U,214.5
"Jan 3, 2018",@ Brooklyn,REG,L,98-97,L,-6.0,U,211.5
"Jan 5, 2018",@ Boston,REG,L,91-84,L,3.0,U,210.5
"Jan 6, 2018",vs New Orleans,REG,W,116-98,W,-1.5,U,218.0
"Jan 8, 2018",vs Cleveland,REG,W,127-99,W,1.0,O,223.0
"Jan 10, 2018",vs Oklahoma City,REG,W,104-88,W,-4.5,U,213.0
"Jan 12, 2018",vs New York,REG,W,118-108,W,-9.0,O,208.5
"Jan 14, 2018",vs Portland,REG,W,120-103,W,-6.0,O,213.0
"Jan 16, 2018",@ Orlando,REG,L,108-102,L,-8.5,U,218.0
"Jan 18, 2018",@ Houston,REG,L,116-98,L,5.5,U,225.0
"Jan 20, 2018",vs Toronto,REG,W,115-109,W,1.5,O,214.0
"Jan 22, 2018",@ LA Clippers,REG,W,126-118,W,2.0,O,220.0
"Jan 24, 2018",@ Portland,REG,L,123-114,L,3.5,O,210.5
"Jan 25, 2018",@ Golden State,REG,L,126-113,L,12.5,O,229.5
"Jan 27, 2018",vs Brooklyn,REG,W,111-97,W,-11.0,U,215.5
"Jan 29, 2018",@ Atlanta,REG,L,105-100,L,-6.5,U,213.0
