Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 18, 2017",vs Portland,REG,L,124-76,L,2.5,U,219.5
"Oct 20, 2017",vs LA Lakers,REG,L,132-130,L,-3.0,O,220.5
"Oct 21, 2017",@ LA Clippers,REG,L,130-88,L,13.5,U,219.5
"Oct 23, 2017",vs Sacramento,REG,W,117-115,W,2.5,O,206.5
"Oct 25, 2017",vs Utah,REG,W,97-88,W,7.5,U,205.0
"Oct 28, 2017",@ Portland,REG,L,114-107,W,12.0,O,218.0
"Oct 31, 2017",@ Brooklyn,REG,W,122-114,W,4.0,O,230.0
"Nov 1, 2017",@ Washington,REG,W,122-116,W,11.0,O,228.0
"Nov 3, 2017",@ New York,REG,L,120-107,L,4.5,O,220.5
"Nov 5, 2017",@ San Antonio,REG,L,112-95,L,9.5,U,211.5
"Nov 6, 2017",vs Brooklyn,REG,L,98-92,L,1.0,U,233.5
"Nov 8, 2017",vs Miami,REG,L,126-115,L,6.0,O,217.0
"Nov 10, 2017",vs Orlando,REG,L,128-112,L,4.0,O,227.0
"Nov 11, 2017",vs Minnesota,REG,W,118-110,W,10.0,U,232.5
"Nov 13, 2017",vs LA Lakers,REG,L,100-93,L,-1.0,U,230.0
"Nov 16, 2017",vs Houston,REG,L,142-116,L,12.5,O,230.5
"Nov 17, 2017",@ LA Lakers,REG,W,122-113,W,7.5,O,229.0
"Nov 19, 2017",vs Chicago,REG,W,113-105,W,-2.5,O,215.5
"Nov 22, 2017",vs Milwaukee,REG,L,113-107,L,2.0,O,219.0
"Nov 24, 2017",vs New Orleans,REG,L,115-91,L,6.5,U,227.0
"Nov 26, 2017",@ Minnesota,REG,L,119-108,P,11.0,O,220.0
"Nov 28, 2017",@ Chicago,REG,W,104-99,W,1.0,U,213.0
"Nov 29, 2017",@ Detroit,REG,L,131-107,L,11.0,O,216.0
"Dec 2, 2017",@ Boston,REG,L,116-111,W,12.0,O,216.0
"Dec 4, 2017",@ Philadelphia,REG,W,115-101,W,10.0,U,227.5
"Dec 5, 2017",@ Toronto,REG,L,126-113,W,14.5,O,224.5
"Dec 7, 2017",vs Washington,REG,L,109-99,L,6.5,U,213.0
"Dec 9, 2017",vs San Antonio,REG,L,104-101,W,5.0,U,205.5
"Dec 12, 2017",@ Sacramento,REG,L,99-92,L,4.5,U,210.0
"Dec 13, 2017",vs Toronto,REG,L,115-109,W,12.0,O,221.0
"Dec 16, 2017",@ Minnesota,REG,W,108-106,W,12.0,U,217.5
"Dec 18, 2017",@ Dallas,REG,W,97-91,W,7.5,U,209.0
"Dec 20, 2017",@ LA Clippers,REG,L,108-95,L,5.5,U,215.0
"Dec 21, 2017",vs Memphis,REG,W,97-95,W,3.5,U,202.5
"Dec 23, 2017",vs Minnesota,REG,L,115-106,L,8.0,O,216.5
"Dec 26, 2017",vs Memphis,REG,W,99-97,W,1.5,U,204.5
"Dec 29, 2017",@ Sacramento,REG,W,111-101,W,3.0,O,211.0
"Dec 31, 2017",vs Philadelphia,REG,L,123-110,L,3.5,O,220.5
"Jan 2, 2018",vs Atlanta,REG,W,104-103,P,-1.0,U,217.0
"Jan 3, 2018",@ Denver,REG,L,134-111,L,12.0,O,219.5
"Jan 5, 2018",@ San Antonio,REG,L,103-89,L,11.5,U,209.5
