Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 17, 2018",@ New York,REG,L,126-107,L,3.5,O,217.0
"Oct 19, 2018",@ Memphis,REG,L,131-117,L,7.0,O,216.0
"Oct 21, 2018",@ Cleveland,REG,W,133-111,W,8.0,O,232.5
"Oct 24, 2018",vs Dallas,REG,W,111-104,W,2.0,U,235.5
"Oct 27, 2018",vs Chicago,REG,L,97-85,L,-6.0,U,232.5
"Oct 29, 2018",@ Philadelphia,REG,L,113-92,L,11.0,U,231.0
"Oct 30, 2018",@ Cleveland,REG,L,136-114,L,4.5,O,227.0
"Nov 1, 2018",vs Sacramento,REG,L,146-115,L,2.0,O,233.5
"Nov 3, 2018",vs Miami,REG,W,123-118,W,5.5,O,225.5
"Nov 6, 2018",@ Charlotte,REG,L,113-102,W,11.5,U,232.5
"Nov 7, 2018",vs New York,REG,L,112-107,L,1.5,U,225.0
"Nov 9, 2018",vs Detroit,REG,L,124-109,L,5.5,O,227.5
"Nov 11, 2018",@ LA Lakers,REG,L,107-106,W,11.5,U,236.5
"Nov 13, 2018",@ Golden State,REG,L,110-103,W,11.5,U,230.0
"Nov 15, 2018",@ Denver,REG,L,138-93,L,14.0,O,222.5
"Nov 17, 2018",@ Indiana,REG,L,97-89,W,11.0,U,219.0
"Nov 19, 2018",vs LA Clippers,REG,L,127-119,L,6.5,O,232.5
"Nov 21, 2018",vs Toronto,REG,L,124-108,L,8.0,O,225.5
"Nov 23, 2018",vs Boston,REG,L,114-96,L,8.0,U,223.5
"Nov 25, 2018",vs Charlotte,REG,W,124-123,W,6.5,O,228.5
"Nov 27, 2018",@ Miami,REG,W,115-113,W,8.0,O,224.0
"Nov 28, 2018",@ Charlotte,REG,L,108-94,L,12.0,U,231.0
"Nov 30, 2018",@ Oklahoma City,REG,L,124-109,L,13.0,O,230.0
"Dec 3, 2018",vs Golden State,REG,L,128-111,L,10.5,O,235.5
"Dec 5, 2018",vs Washington,REG,L,131-117,L,3.5,O,228.5
"Dec 8, 2018",vs Denver,REG,W,106-98,W,5.5,U,224.5
"Dec 12, 2018",@ Dallas,REG,L,114-107,W,9.5,U,226.0
"Dec 14, 2018",@ Boston,REG,L,129-108,L,12.0,O,221.5
"Dec 16, 2018",@ Brooklyn,REG,L,144-127,L,7.0,O,225.5
"Dec 18, 2018",vs Washington,REG,W,118-110,W,3.0,U,238.0
"Dec 21, 2018",@ New York,REG,W,114-107,W,2.0,U,233.5
"Dec 23, 2018",@ Detroit,REG,W,98-95,W,9.5,U,222.0
"Dec 26, 2018",vs Indiana,REG,L,129-121,L,6.5,O,219.5
"Dec 28, 2018",@ Minnesota,REG,W,123-120,W,9.5,O,229.5
"Dec 29, 2018",vs Cleveland,REG,W,111-108,L,-4.0,U,219.5
"Dec 31, 2018",@ Indiana,REG,L,116-108,W,13.0,O,220.5
"Jan 2, 2019",@ Washington,REG,L,114-98,L,6.0,U,230.0
"Jan 4, 2019",@ Milwaukee,REG,L,144-112,L,13.5,O,230.0
"Jan 6, 2019",vs Miami,REG,W,106-82,W,6.5,U,218.5
"Jan 8, 2019",@ Toronto,REG,L,104-101,W,13.5,U,228.5
"Jan 9, 2019",@ Brooklyn,REG,L,116-100,L,8.5,U,226.5
"Jan 11, 2019",@ Philadelphia,REG,W,123-121,W,10.0,O,233.0
"Jan 13, 2019",vs Milwaukee,REG,L,133-114,L,9.5,O,232.0
"Jan 15, 2019",vs Oklahoma City,REG,W,142-126,W,10.0,O,234.5
"Jan 19, 2019",vs Boston,REG,L,113-105,L,6.5,U,226.0
"Jan 21, 2019",vs Orlando,REG,L,122-103,L,-2.0,O,222.0
"Jan 23, 2019",@ Chicago,REG,W,121-101,W,1.5,U,224.0
"Jan 26, 2019",@ Portland,REG,L,120-111,L,8.5,O,224.0
"Jan 28, 2019",@ LA Clippers,REG,W,123-118,W,6.0,O,234.0
"Jan 30, 2019",@ Sacramento,REG,L,135-113,L,5.0,O,236.0
"Feb 1, 2019",@ Utah,REG,L,128-112,L,12.0,O,226.5
"Feb 2, 2019",@ Phoenix,REG,W,118-112,W,2.0,U,235.0
"Feb 4, 2019",@ Washington,REG,W,137-129,W,7.0,O,230.0
"Feb 7, 2019",vs Toronto,REG,L,119-101,L,6.5,U,232.5
"Feb 9, 2019",vs Charlotte,REG,L,129-120,L,2.0,O,228.5
"Feb 10, 2019",vs Orlando,REG,L,124-108,L,1.0,O,224.5
"Feb 12, 2019",vs LA Lakers,REG,W,117-113,W,6.0,U,239.5
"Feb 14, 2019",vs New York,REG,L,106-91,L,-8.0,U,226.0
