Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 16, 2018",vs Philadelphia,REG,W,105-87,W,-5.0,U,211.0
"Oct 19, 2018",@ Toronto,REG,L,113-101,L,3.0,O,209.5
"Oct 20, 2018",@ New York,REG,W,103-101,L,-9.5,U,210.5
"Oct 22, 2018",vs Orlando,REG,L,93-90,L,-11.0,U,210.5
"Oct 25, 2018",@ Oklahoma City,REG,W,101-95,W,-1.0,U,219.0
"Oct 27, 2018",@ Detroit,REG,W,109-89,W,-3.5,U,212.0
"Oct 30, 2018",vs Detroit,REG,W,108-105,L,-8.5,O,212.0
"Nov 1, 2018",vs Milwaukee,REG,W,117-113,W,-2.5,O,220.5
"Nov 3, 2018",@ Indiana,REG,L,102-101,L,-3.5,U,205.5
"Nov 5, 2018",@ Denver,REG,L,115-107,L,1.5,O,210.5
"Nov 8, 2018",@ Phoenix,REG,W,116-109,L,-9.5,O,214.5
"Nov 9, 2018",@ Utah,REG,L,123-115,L,5.5,O,204.5
"Nov 11, 2018",@ Portland,REG,L,100-94,L,2.0,U,214.5
"Nov 14, 2018",vs Chicago,REG,W,111-82,W,-13.0,U,213.0
"Nov 16, 2018",vs Toronto,REG,W,123-116,W,-2.0,O,218.0
"Nov 17, 2018",vs Utah,REG,L,98-86,L,-4.0,U,207.0
"Nov 19, 2018",@ Charlotte,REG,L,117-112,L,-3.5,O,218.0
"Nov 21, 2018",vs New York,REG,L,117-109,L,-14.5,O,215.5
"Nov 23, 2018",@ Atlanta,REG,W,114-96,W,-8.0,U,223.5
"Nov 24, 2018",@ Dallas,REG,L,113-104,L,-2.5,O,213.0
"Nov 26, 2018",@ New Orleans,REG,W,124-107,W,2.0,O,228.5
"Nov 30, 2018",vs Cleveland,REG,W,128-95,W,-12.5,O,206.5
"Dec 1, 2018",@ Minnesota,REG,W,118-109,W,1.5,O,216.5
"Dec 6, 2018",vs New York,REG,W,128-100,W,-13.5,O,218.0
"Dec 8, 2018",@ Chicago,REG,W,133-77,W,-7.5,U,214.0
"Dec 10, 2018",vs New Orleans,REG,W,113-100,W,-2.5,U,222.5
"Dec 12, 2018",@ Washington,REG,W,130-125,W,-3.5,O,220.0
"Dec 14, 2018",vs Atlanta,REG,W,129-108,W,-12.0,O,221.5
"Dec 15, 2018",@ Detroit,REG,L,113-104,L,-2.0,O,214.5
"Dec 19, 2018",vs Phoenix,REG,L,111-103,L,-11.5,U,222.5
"Dec 21, 2018",vs Milwaukee,REG,L,120-107,L,1.5,O,223.5
