Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 17, 2018",@ Detroit,REG,L,103-100,W,6.0,U,212.5
"Oct 19, 2018",vs New York,REG,W,107-105,L,-4.0,U,221.5
"Oct 20, 2018",@ Indiana,REG,L,132-112,L,8.0,O,214.0
"Oct 24, 2018",@ Cleveland,REG,W,102-86,W,3.0,U,226.0
"Oct 26, 2018",@ New Orleans,REG,L,117-115,W,8.5,O,231.5
"Oct 28, 2018",vs Golden State,REG,L,120-114,W,9.5,O,227.0
"Oct 29, 2018",@ New York,REG,L,115-96,L,1.0,U,215.0
"Oct 31, 2018",vs Detroit,REG,W,120-119,L,-2.5,O,217.0
"Nov 2, 2018",vs Houston,REG,L,119-111,L,4.0,O,220.5
"Nov 4, 2018",vs Philadelphia,REG,W,122-97,W,4.0,U,224.0
"Nov 6, 2018",@ Phoenix,REG,W,104-82,W,-2.5,U,221.0
"Nov 9, 2018",@ Denver,REG,W,112-110,W,8.5,O,215.5
"Nov 10, 2018",@ Golden State,REG,L,116-100,L,8.0,U,223.5
"Nov 12, 2018",@ Minnesota,REG,L,120-113,L,4.0,O,226.0
"Nov 14, 2018",vs Miami,REG,L,120-107,L,2.5,O,214.0
"Nov 16, 2018",@ Washington,REG,W,115-104,W,6.0,U,224.0
"Nov 17, 2018",vs LA Clippers,REG,L,127-119,L,4.0,O,221.5
"Nov 20, 2018",@ Miami,REG,W,104-92,W,2.5,U,215.0
"Nov 21, 2018",@ Dallas,REG,L,119-113,L,5.5,O,215.0
"Nov 23, 2018",vs Minnesota,REG,L,112-102,L,2.0,U,221.5
"Nov 25, 2018",vs Philadelphia,REG,L,127-125,W,4.5,O,226.0
"Nov 28, 2018",vs Utah,REG,L,101-91,L,3.5,U,215.0
"Nov 30, 2018",vs Memphis,REG,L,131-125,L,2.5,O,207.0
"Dec 1, 2018",@ Washington,REG,L,102-88,L,6.5,U,228.0
"Dec 3, 2018",vs Cleveland,REG,L,99-97,L,-6.0,U,210.5
"Dec 5, 2018",vs Oklahoma City,REG,L,114-112,W,6.5,O,221.0
"Dec 7, 2018",vs Toronto,REG,W,106-105,W,8.5,U,221.0
"Dec 8, 2018",@ New York,REG,W,112-104,W,2.0,U,220.0
"Dec 12, 2018",@ Philadelphia,REG,W,127-124,W,6.0,O,224.5
"Dec 14, 2018",vs Washington,REG,W,125-118,W,-3.0,O,225.0
"Dec 16, 2018",vs Atlanta,REG,W,144-127,W,-7.0,O,225.5
"Dec 18, 2018",vs LA Lakers,REG,W,115-110,W,1.5,U,229.0
"Dec 19, 2018",@ Chicago,REG,W,96-93,W,-1.5,U,211.5
"Dec 21, 2018",vs Indiana,REG,L,114-106,L,3.0,O,209.5
"Dec 23, 2018",vs Phoenix,REG,W,111-103,L,-9.0,U,219.0
"Dec 26, 2018",vs Charlotte,REG,W,134-132,W,-1.5,O,220.5
"Dec 28, 2018",@ Charlotte,REG,L,100-87,L,4.5,U,220.0
"Dec 29, 2018",@ Milwaukee,REG,L,129-115,L,11.0,O,222.0
"Jan 2, 2019",vs New Orleans,REG,W,126-121,W,2.0,O,230.0
"Jan 4, 2019",@ Memphis,REG,W,109-100,W,4.0,O,204.0
"Jan 6, 2019",@ Chicago,REG,W,117-100,W,-2.0,O,207.5
"Jan 7, 2019",@ Boston,REG,L,116-95,L,10.5,U,219.0
"Jan 9, 2019",vs Atlanta,REG,W,116-100,W,-8.5,U,226.5
"Jan 11, 2019",@ Toronto,REG,L,122-105,L,10.0,O,224.5
"Jan 14, 2019",vs Boston,REG,W,109-102,W,2.5,U,217.0
"Jan 16, 2019",@ Houston,REG,W,145-142,W,5.5,O,226.0
"Jan 18, 2019",@ Orlando,REG,W,117-115,W,2.0,O,217.0
