Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 18, 2018",@ Philadelphia,REG,L,127-108,L,12.5,O,221.0
"Oct 20, 2018",vs Detroit,REG,L,118-116,W,4.5,O,216.5
"Oct 22, 2018",@ Dallas,REG,L,115-109,L,5.0,U,230.0
"Oct 24, 2018",vs Charlotte,REG,W,112-110,W,4.5,U,229.0
"Oct 26, 2018",@ Charlotte,REG,L,135-106,L,10.5,O,224.5
"Oct 27, 2018",@ Atlanta,REG,W,97-85,W,6.0,U,232.5
"Oct 29, 2018",vs Golden State,REG,L,149-124,L,11.0,O,227.0
"Oct 31, 2018",vs Denver,REG,L,108-107,W,8.0,U,220.5
"Nov 2, 2018",vs Indiana,REG,L,107-105,W,7.0,U,213.0
"Nov 3, 2018",vs Houston,REG,L,96-88,W,8.5,U,223.0
"Nov 5, 2018",@ New York,REG,W,116-115,W,2.5,O,213.0
"Nov 7, 2018",@ New Orleans,REG,L,107-98,W,11.0,U,228.0
"Nov 10, 2018",vs Cleveland,REG,W,99-98,L,-4.5,U,212.0
"Nov 12, 2018",vs Dallas,REG,L,103-98,L,2.5,U,215.5
"Nov 14, 2018",@ Boston,REG,L,111-82,L,13.0,U,213.0
"Nov 16, 2018",@ Milwaukee,REG,L,123-104,L,14.5,O,225.5
"Nov 17, 2018",vs Toronto,REG,L,122-83,L,9.5,U,214.5
"Nov 21, 2018",vs Phoenix,REG,W,124-116,W,1.5,O,217.0
"Nov 23, 2018",vs Miami,REG,L,103-96,L,4.0,U,213.0
"Nov 24, 2018",@ Minnesota,REG,L,111-96,L,11.5,U,218.0
"Nov 26, 2018",vs San Antonio,REG,L,108-107,W,6.5,P,215.0
"Nov 28, 2018",@ Milwaukee,REG,L,116-113,W,14.5,U,230.0
"Nov 30, 2018",@ Detroit,REG,L,107-88,L,8.5,U,217.0
"Dec 1, 2018",@ Houston,REG,L,121-105,L,13.0,O,219.0
"Dec 4, 2018",@ Indiana,REG,L,96-90,W,8.0,U,210.5
"Dec 7, 2018",vs Oklahoma City,REG,W,114-112,W,8.5,O,218.5
"Dec 8, 2018",vs Boston,REG,L,133-77,L,7.5,U,214.0
"Dec 10, 2018",vs Sacramento,REG,L,108-89,L,2.0,U,226.5
"Dec 13, 2018",@ Orlando,REG,L,97-91,L,5.5,U,212.5
"Dec 15, 2018",@ San Antonio,REG,W,98-93,W,9.5,U,213.5
"Dec 17, 2018",@ Oklahoma City,REG,L,121-96,L,12.5,O,212.5
"Dec 19, 2018",vs Brooklyn,REG,L,96-93,L,1.5,U,211.5
