Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 17, 2018",@ Phoenix,REG,L,121-100,L,-2.5,O,213.0
"Oct 20, 2018",vs Minnesota,REG,W,140-136,W,-1.5,O,220.0
"Oct 22, 2018",vs Chicago,REG,W,115-109,W,-5.0,U,230.0
"Oct 24, 2018",@ Atlanta,REG,L,111-104,L,-2.0,U,235.5
"Oct 26, 2018",@ Toronto,REG,L,116-107,W,11.5,O,221.5
"Oct 28, 2018",vs Utah,REG,L,113-104,L,4.5,O,213.5
"Oct 29, 2018",@ San Antonio,REG,L,113-108,W,7.0,O,214.5
"Oct 31, 2018",@ LA Lakers,REG,L,114-113,W,7.5,U,234.0
"Nov 2, 2018",vs New York,REG,L,118-106,L,-5.5,O,216.0
"Nov 6, 2018",vs Washington,REG,W,119-100,W,1.5,U,228.0
"Nov 7, 2018",@ Utah,REG,L,117-102,L,9.5,O,213.5
"Nov 10, 2018",vs Oklahoma City,REG,W,111-96,W,-1.5,U,214.5
"Nov 12, 2018",@ Chicago,REG,W,103-98,W,-2.5,U,215.5
"Nov 14, 2018",vs Utah,REG,W,118-68,W,5.0,U,212.0
"Nov 17, 2018",vs Golden State,REG,W,112-109,W,2.0,O,215.5
"Nov 19, 2018",@ Memphis,REG,L,98-88,L,3.0,U,200.5
"Nov 21, 2018",vs Brooklyn,REG,W,119-113,W,-5.5,O,215.0
"Nov 24, 2018",vs Boston,REG,W,113-104,W,2.5,O,213.0
"Nov 28, 2018",@ Houston,REG,W,128-108,W,5.5,O,217.0
"Nov 30, 2018",@ LA Lakers,REG,L,114-103,L,4.0,U,223.5
"Dec 2, 2018",vs LA Clippers,REG,W,114-110,W,3.5,P,224.0
"Dec 4, 2018",vs Portland,REG,W,111-102,W,-1.5,U,217.0
"Dec 5, 2018",@ New Orleans,REG,L,132-106,L,5.5,O,226.5
"Dec 8, 2018",vs Houston,REG,W,107-104,W,3.5,U,219.0
"Dec 10, 2018",vs Orlando,REG,W,101-76,W,-4.5,U,210.5
"Dec 12, 2018",vs Atlanta,REG,W,114-107,L,-9.5,U,226.0
"Dec 13, 2018",@ Phoenix,REG,L,99-89,L,-6.0,U,210.0
"Dec 16, 2018",vs Sacramento,REG,L,120-113,L,-4.5,O,223.0
"Dec 18, 2018",@ Denver,REG,L,126-118,L,4.5,O,208.0
"Dec 20, 2018",@ LA Clippers,REG,L,125-121,L,3.5,O,222.5
"Dec 22, 2018",@ Golden State,REG,L,120-116,W,11.0,O,227.0
"Dec 23, 2018",@ Portland,REG,L,121-118,W,7.5,O,215.5
"Dec 26, 2018",vs New Orleans,REG,W,122-119,W,-2.0,O,228.5
"Dec 28, 2018",@ New Orleans,REG,L,114-112,W,4.0,U,228.5
"Dec 30, 2018",vs Oklahoma City,REG,W,105-103,W,2.5,U,226.0
"Dec 31, 2018",@ Oklahoma City,REG,L,122-102,L,7.5,P,224.0
"Jan 2, 2019",@ Charlotte,REG,W,122-84,W,1.5,U,222.0
"Jan 4, 2019",@ Boston,REG,L,114-93,L,4.0,U,212.0
"Jan 5, 2019",@ Philadelphia,REG,L,106-100,W,6.5,U,226.5
"Jan 7, 2019",vs LA Lakers,REG,L,107-97,L,-7.5,U,222.5
"Jan 9, 2019",vs Phoenix,REG,W,104-94,L,-11.0,U,217.5
"Jan 11, 2019",@ Minnesota,REG,W,119-115,W,4.5,O,224.0
"Jan 13, 2019",vs Golden State,REG,L,119-114,W,6.0,O,227.0
"Jan 16, 2019",vs San Antonio,REG,L,105-101,L,-1.0,U,217.0
"Jan 19, 2019",@ Indiana,REG,L,111-99,L,7.5,U,215.0
"Jan 21, 2019",@ Milwaukee,REG,L,116-106,W,11.0,U,224.0
"Jan 22, 2019",vs LA Clippers,REG,W,106-98,W,-3.0,U,223.5
"Jan 25, 2019",vs Detroit,REG,W,106-101,P,-5.0,P,207.0
"Jan 27, 2019",vs Toronto,REG,L,123-120,W,4.5,O,220.0
"Jan 30, 2019",@ New York,REG,W,114-90,W,-7.0,U,215.0
"Jan 31, 2019",@ Detroit,REG,L,93-89,W,7.5,U,206.0
"Feb 2, 2019",@ Cleveland,REG,W,111-98,W,-5.5,U,210.5
"Feb 6, 2019",vs Charlotte,REG,W,99-93,W,-5.5,U,215.5
"Feb 8, 2019",vs Milwaukee,REG,L,122-107,L,5.5,O,226.0
"Feb 10, 2019",vs Portland,REG,W,102-101,W,3.0,U,219.5
"Feb 11, 2019",@ Houston,REG,L,120-104,L,11.0,P,224.0
"Feb 13, 2019",vs Miami,REG,L,112-101,L,-3.0,O,208.0
"Feb 22, 2019",vs Denver,REG,L,114-104,L,7.0,U,223.0
"Feb 23, 2019",@ Utah,REG,L,125-109,L,11.5,O,214.0
"Feb 25, 2019",@ LA Clippers,REG,L,121-112,L,3.5,O,230.0
"Feb 27, 2019",vs Indiana,REG,W,110-101,W,1.0,U,214.5
"Mar 2, 2019",vs Memphis,REG,L,111-81,L,-4.5,U,215.0
"Mar 4, 2019",@ Brooklyn,REG,L,127-88,L,5.5,U,226.5
"Mar 6, 2019",@ Washington,REG,L,132-123,L,5.5,O,232.5
"Mar 8, 2019",@ Orlando,REG,L,111-106,W,7.0,O,214.0
"Mar 10, 2019",vs Houston,REG,L,94-93,W,8.5,U,222.5
"Mar 12, 2019",vs San Antonio,REG,L,112-105,L,3.5,U,219.0
"Mar 14, 2019",@ Denver,REG,L,100-99,W,11.5,U,220.5
"Mar 16, 2019",vs Cleveland,REG,W,121-116,L,-5.5,O,217.5
"Mar 18, 2019",vs New Orleans,REG,L,129-125,L,-5.0,O,232.0
"Mar 20, 2019",@ Portland,REG,L,126-118,W,10.0,O,217.0
"Mar 21, 2019",@ Sacramento,REG,L,116-100,L,9.0,U,230.0
"Mar 23, 2019",@ Golden State,REG,W,126-91,W,13.5,U,219.0
"Mar 26, 2019",vs Sacramento,REG,L,125-121,L,2.0,O,226.0
"Mar 28, 2019",@ Miami,REG,L,105-99,P,6.0,U,212.5
"Mar 31, 2019",@ Oklahoma City,REG,W,106-103,W,12.5,U,218.0
"Apr 1, 2019",vs Philadelphia,REG,W,122-102,W,4.5,O,219.5
"Apr 3, 2019",vs Minnesota,REG,L,110-108,L,-2.5,U,227.0
"Apr 5, 2019",vs Memphis,REG,L,122-112,L,-4.0,O,211.5
"Apr 7, 2019",@ Memphis,REG,W,129-127,W,-1.0,O,214.0
"Apr 9, 2019",vs Phoenix,REG,W,120-109,W,-8.5,O,225.5
"Apr 10, 2019",@ San Antonio,REG,L,105-94,W,14.5,U,218.5
