Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 17, 2018",@ LA Clippers,REG,W,107-98,W,-2.5,U,224.0
"Oct 20, 2018",vs Phoenix,REG,W,119-91,W,-10.0,U,224.5
"Oct 21, 2018",vs Golden State,REG,W,100-98,W,4.5,U,230.0
"Oct 23, 2018",vs Sacramento,REG,W,126-112,W,-11.5,O,228.5
"Oct 25, 2018",@ LA Lakers,REG,L,121-114,L,-1.0,P,235.0
"Oct 29, 2018",vs New Orleans,REG,W,116-111,L,-9.5,U,230.0
"Oct 31, 2018",@ Chicago,REG,W,108-107,L,-8.0,U,220.5
"Nov 1, 2018",@ Cleveland,REG,W,110-91,W,-5.0,U,218.5
"Nov 3, 2018",vs Utah,REG,W,103-88,W,-4.5,U,210.0
"Nov 5, 2018",vs Boston,REG,W,115-107,W,-1.5,O,210.5
"Nov 7, 2018",@ Memphis,REG,L,89-87,L,-3.5,U,203.5
"Nov 9, 2018",vs Brooklyn,REG,L,112-110,L,-8.5,O,215.5
"Nov 11, 2018",vs Milwaukee,REG,L,121-114,L,-3.5,O,224.5
"Nov 13, 2018",vs Houston,REG,L,109-99,L,-4.5,U,216.5
"Nov 15, 2018",vs Atlanta,REG,W,138-93,W,-14.0,O,222.5
"Nov 17, 2018",@ New Orleans,REG,L,125-115,L,0.0,O,227.0
"Nov 19, 2018",@ Milwaukee,REG,L,104-98,L,5.5,U,224.5
"Nov 21, 2018",@ Minnesota,REG,W,103-101,W,1.0,U,220.5
"Nov 23, 2018",vs Orlando,REG,W,112-87,W,-8.5,U,210.5
"Nov 24, 2018",@ Oklahoma City,REG,W,105-98,W,6.0,U,217.0
"Nov 27, 2018",vs LA Lakers,REG,W,117-85,W,-3.0,U,219.0
"Nov 30, 2018",@ Portland,REG,W,113-112,W,1.5,O,214.0
"Dec 3, 2018",@ Toronto,REG,W,106-103,W,7.0,U,219.0
"Dec 5, 2018",@ Orlando,REG,W,124-118,W,-4.5,O,206.5
"Dec 7, 2018",@ Charlotte,REG,L,113-107,L,1.0,O,218.5
"Dec 8, 2018",@ Atlanta,REG,L,106-98,L,-5.5,U,224.5
"Dec 10, 2018",vs Memphis,REG,W,105-99,W,-3.0,O,197.5
"Dec 14, 2018",vs Oklahoma City,REG,W,109-98,W,2.0,U,217.5
"Dec 16, 2018",vs Toronto,REG,W,95-86,W,-3.0,U,209.5
"Dec 18, 2018",vs Dallas,REG,W,126-118,W,-4.5,O,208.0
"Dec 22, 2018",@ LA Clippers,REG,L,132-111,L,2.0,O,220.5
"Dec 26, 2018",@ San Antonio,REG,L,111-103,L,4.0,U,216.0
"Dec 28, 2018",vs San Antonio,REG,W,102-99,L,-4.5,U,216.5
"Dec 29, 2018",@ Phoenix,REG,W,122-118,L,-4.5,O,215.5
"Jan 1, 2019",vs New York,REG,W,115-108,L,-13.5,O,219.0
"Jan 3, 2019",@ Sacramento,REG,W,117-113,W,-3.5,O,227.0
"Jan 5, 2019",vs Charlotte,REG,W,123-110,W,-9.0,O,218.5
"Jan 7, 2019",@ Houston,REG,L,125-113,L,1.0,O,215.5
"Jan 8, 2019",@ Miami,REG,W,103-99,W,2.0,U,209.5
"Jan 10, 2019",vs LA Clippers,REG,W,121-100,W,-5.5,U,226.0
"Jan 12, 2019",@ Phoenix,REG,L,102-93,L,-9.0,U,217.5
"Jan 13, 2019",vs Portland,REG,W,116-113,L,-4.5,O,216.5
"Jan 15, 2019",vs Golden State,REG,L,142-111,L,2.5,O,228.0
"Jan 17, 2019",vs Chicago,REG,W,135-105,W,-14.0,O,214.0
"Jan 19, 2019",vs Cleveland,REG,W,124-102,W,-18.5,O,219.0
"Jan 23, 2019",@ Utah,REG,L,114-108,L,4.5,O,216.5
"Jan 25, 2019",vs Phoenix,REG,W,132-95,W,-15.0,O,222.0
"Jan 26, 2019",vs Philadelphia,REG,W,126-110,W,-10.5,O,227.0
"Jan 28, 2019",@ Memphis,REG,W,95-92,L,-5.5,U,205.0
"Jan 30, 2019",@ New Orleans,REG,W,105-99,L,-9.0,U,226.5
"Feb 1, 2019",vs Houston,REG,W,136-122,W,-3.5,O,223.5
"Feb 2, 2019",@ Minnesota,REG,W,107-106,W,1.5,U,221.5
"Feb 4, 2019",@ Detroit,REG,L,129-103,L,-2.0,O,209.0
"Feb 6, 2019",@ Brooklyn,REG,L,135-130,L,-3.5,O,226.5
"Feb 8, 2019",@ Philadelphia,REG,L,117-110,L,6.5,U,231.0
"Feb 11, 2019",vs Miami,REG,W,103-87,W,-9.5,U,212.5
"Feb 13, 2019",vs Sacramento,REG,W,120-118,L,-7.5,O,232.5
"Feb 22, 2019",@ Dallas,REG,W,114-104,W,-7.0,U,223.0
"Feb 24, 2019",vs LA Clippers,REG,W,123-96,W,-9.0,U,235.0
"Feb 26, 2019",vs Oklahoma City,REG,W,121-112,W,-3.5,U,238.5
"Feb 28, 2019",vs Utah,REG,L,111-104,L,-7.5,U,225.0
"Mar 2, 2019",vs New Orleans,REG,L,120-112,L,-13.5,U,238.0
"Mar 4, 2019",@ San Antonio,REG,L,104-103,W,1.5,U,229.5
