Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 17, 2018",vs Denver,REG,L,107-98,L,2.5,U,224.0
"Oct 19, 2018",vs Oklahoma City,REG,W,108-92,W,-3.0,U,214.0
"Oct 21, 2018",vs Houston,REG,W,115-112,W,-2.0,O,220.5
"Oct 23, 2018",@ New Orleans,REG,L,116-109,L,5.5,U,237.0
"Oct 26, 2018",@ Houston,REG,W,133-113,W,4.0,O,217.5
"Oct 28, 2018",vs Washington,REG,W,136-104,W,-3.5,O,228.5
"Oct 30, 2018",@ Oklahoma City,REG,L,128-110,L,3.0,O,228.5
"Nov 1, 2018",@ Philadelphia,REG,L,122-113,L,5.5,O,229.0
"Nov 2, 2018",@ Orlando,REG,W,120-95,W,-3.5,U,219.5
"Nov 5, 2018",vs Minnesota,REG,W,120-109,W,-5.5,U,233.0
"Nov 8, 2018",@ Portland,REG,L,116-105,L,5.0,U,225.5
"Nov 10, 2018",vs Milwaukee,REG,W,128-126,W,4.0,O,233.5
"Nov 12, 2018",vs Golden State,REG,W,121-116,W,3.5,O,226.5
"Nov 15, 2018",vs San Antonio,REG,W,116-111,L,-6.0,O,217.0
"Nov 17, 2018",@ Brooklyn,REG,W,127-119,W,-4.0,O,221.5
"Nov 19, 2018",@ Atlanta,REG,W,127-119,W,-6.5,O,232.5
"Nov 20, 2018",@ Washington,REG,L,125-118,L,-1.0,O,233.0
"Nov 23, 2018",vs Memphis,REG,W,112-107,W,-4.5,O,210.0
"Nov 25, 2018",@ Portland,REG,W,104-100,W,4.0,U,227.5
"Nov 28, 2018",vs Phoenix,REG,W,115-99,W,-12.0,U,230.0
"Nov 29, 2018",@ Sacramento,REG,W,133-121,W,-2.0,O,236.0
"Dec 2, 2018",@ Dallas,REG,L,114-110,L,-3.5,P,224.0
"Dec 3, 2018",@ New Orleans,REG,W,129-126,W,1.5,O,234.5
"Dec 5, 2018",@ Memphis,REG,L,96-86,L,2.0,U,209.5
"Dec 8, 2018",vs Miami,REG,L,121-98,L,-9.5,U,219.5
"Dec 10, 2018",@ Phoenix,REG,W,123-119,L,-9.5,O,222.5
"Dec 11, 2018",vs Toronto,REG,L,123-99,L,3.0,O,219.5
"Dec 13, 2018",@ San Antonio,REG,L,125-87,L,3.0,U,221.5
"Dec 15, 2018",@ Oklahoma City,REG,L,110-104,W,6.5,U,222.5
"Dec 17, 2018",vs Portland,REG,L,131-127,L,-1.5,O,217.5
"Dec 20, 2018",vs Dallas,REG,W,125-121,W,-3.5,O,222.5
"Dec 22, 2018",vs Denver,REG,W,132-111,W,-2.0,O,220.5
"Dec 23, 2018",@ Golden State,REG,L,129-127,W,11.0,O,233.5
"Dec 26, 2018",vs Sacramento,REG,W,127-118,W,-4.5,O,238.5
"Dec 28, 2018",@ LA Lakers,REG,W,118-107,W,-7.0,U,229.0
"Dec 29, 2018",vs San Antonio,REG,L,122-111,L,-3.0,O,227.0
"Jan 1, 2019",vs Philadelphia,REG,L,119-113,L,1.5,U,236.0
"Jan 4, 2019",@ Phoenix,REG,W,121-111,W,-4.5,U,235.0
"Jan 6, 2019",vs Orlando,REG,W,106-96,W,-6.5,U,220.5
"Jan 8, 2019",vs Charlotte,REG,W,128-109,W,-6.5,O,231.5
"Jan 10, 2019",@ Denver,REG,L,121-100,L,5.5,U,226.0
"Jan 12, 2019",vs Detroit,REG,L,109-104,L,-7.5,U,222.0
"Jan 14, 2019",vs New Orleans,REG,L,121-117,L,1.5,U,240.0
"Jan 16, 2019",vs Utah,REG,L,129-109,L,-1.0,O,224.0
"Jan 18, 2019",vs Golden State,REG,L,112-94,L,7.5,U,242.0
"Jan 20, 2019",@ San Antonio,REG,W,103-95,W,9.5,U,220.5
"Jan 22, 2019",@ Dallas,REG,L,106-98,L,3.0,U,223.5
"Jan 23, 2019",@ Miami,REG,W,111-99,W,5.5,U,215.5
"Jan 25, 2019",@ Chicago,REG,W,106-101,W,-4.5,U,222.5
"Jan 27, 2019",vs Sacramento,REG,W,122-108,W,-3.5,P,230.0
"Jan 28, 2019",vs Atlanta,REG,L,123-118,L,-6.0,O,234.0
"Jan 31, 2019",vs LA Lakers,REG,L,123-120,L,2.0,O,232.0
"Feb 2, 2019",@ Detroit,REG,W,111-101,W,2.0,U,215.5
"Feb 3, 2019",@ Toronto,REG,L,121-103,L,9.5,U,225.5
"Feb 5, 2019",@ Charlotte,REG,W,117-115,W,3.0,O,223.5
"Feb 7, 2019",@ Indiana,REG,L,116-92,L,6.5,U,221.0
"Feb 9, 2019",@ Boston,REG,W,123-112,W,11.5,O,228.5
"Feb 11, 2019",@ Minnesota,REG,L,130-120,L,3.5,O,232.5
"Feb 13, 2019",vs Phoenix,REG,W,134-107,W,-7.5,O,232.5
"Feb 22, 2019",@ Memphis,REG,W,112-106,W,-3.0,O,217.0
"Feb 24, 2019",@ Denver,REG,L,123-96,L,9.0,U,235.0
"Feb 25, 2019",vs Dallas,REG,W,121-112,W,-3.5,O,230.0
"Feb 27, 2019",@ Utah,REG,L,111-105,W,10.0,U,227.0
"Mar 1, 2019",@ Sacramento,REG,W,116-109,W,3.5,U,238.0
"Mar 3, 2019",vs New York,REG,W,128-107,W,-10.0,O,226.5
"Mar 4, 2019",@ LA Lakers,REG,W,113-105,W,3.5,U,236.0
"Mar 8, 2019",vs Oklahoma City,REG,W,118-110,W,-2.0,U,237.0
"Mar 11, 2019",vs Boston,REG,W,140-115,W,1.5,O,227.5
"Mar 12, 2019",vs Portland,REG,L,125-104,L,4.0,U,232.0
"Mar 15, 2019",vs Chicago,REG,W,128-121,L,-9.0,O,229.5
"Mar 17, 2019",vs Brooklyn,REG,W,119-116,L,-6.0,O,230.5
"Mar 19, 2019",vs Indiana,REG,W,115-109,W,-5.5,O,219.5
"Mar 22, 2019",@ Cleveland,REG,W,110-108,L,-6.5,U,226.5
"Mar 24, 2019",@ New York,REG,W,124-113,W,-8.5,O,223.5
"Mar 26, 2019",@ Minnesota,REG,W,122-111,W,-3.0,O,229.5
"Mar 28, 2019",@ Milwaukee,REG,L,128-118,P,10.0,O,231.0
"Mar 30, 2019",vs Cleveland,REG,W,132-108,W,-9.0,O,228.5
"Mar 31, 2019",vs Memphis,REG,W,113-96,W,-10.0,U,223.5
"Apr 3, 2019",vs Houston,REG,L,135-103,L,2.5,O,229.0
"Apr 5, 2019",vs LA Lakers,REG,L,122-117,L,-11.5,O,228.0
"Apr 7, 2019",@ Golden State,REG,L,131-104,L,11.5,U,237.5
"Apr 10, 2019",vs Utah,REG,W,143-137,L,-8.0,O,225.0
"Apr 13, 2019",@ Golden State,PST,L,121-104,L,13.5,U,233.5
"Apr 15, 2019",@ Golden State,PST,W,135-131,W,13.5,O,234.0
"Apr 18, 2019",vs Golden State,PST,L,132-105,L,9.5,O,234.0
"Apr 21, 2019",vs Golden State,PST,L,113-105,W,9.5,U,236.0
"Apr 24, 2019",@ Golden State,PST,W,129-121,W,15.0,O,232.5
"Apr 26, 2019",vs Golden State,PST,L,129-110,L,10.5,O,232.0
