Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 17, 2018",@ Orlando,REG,L,104-101,L,-2.5,U,209.0
"Oct 18, 2018",@ Washington,REG,W,113-112,W,5.5,O,214.5
"Oct 20, 2018",vs Charlotte,REG,L,113-112,L,-3.5,O,219.5
"Oct 24, 2018",vs New York,REG,W,110-87,W,-8.0,U,218.5
"Oct 27, 2018",vs Portland,REG,W,120-111,W,-1.5,O,220.0
"Oct 29, 2018",vs Sacramento,REG,L,123-113,L,-9.5,O,226.5
"Oct 30, 2018",@ Charlotte,REG,L,125-113,L,3.0,O,221.0
"Nov 3, 2018",@ Atlanta,REG,L,123-118,L,-5.5,O,225.5
"Nov 5, 2018",@ Detroit,REG,W,120-115,W,3.0,O,219.5
"Nov 7, 2018",vs San Antonio,REG,W,95-88,W,-1.5,U,215.5
"Nov 9, 2018",vs Indiana,REG,L,110-102,L,2.0,O,207.0
"Nov 10, 2018",vs Washington,REG,L,116-110,L,-3.5,O,224.0
"Nov 12, 2018",vs Philadelphia,REG,L,124-114,L,-2.5,O,224.5
"Nov 14, 2018",@ Brooklyn,REG,W,120-107,W,-2.5,O,214.0
"Nov 16, 2018",@ Indiana,REG,L,99-91,L,5.0,U,213.5
"Nov 18, 2018",vs LA Lakers,REG,L,113-97,L,1.0,U,224.5
"Nov 20, 2018",vs Brooklyn,REG,L,104-92,L,-2.5,U,215.0
"Nov 23, 2018",@ Chicago,REG,W,103-96,W,-4.0,U,213.0
"Nov 25, 2018",@ Toronto,REG,L,125-115,W,12.0,O,215.0
"Nov 27, 2018",vs Atlanta,REG,L,115-113,L,-8.0,O,224.0
"Nov 30, 2018",vs New Orleans,REG,W,106-101,W,3.0,U,228.0
"Dec 2, 2018",vs Utah,REG,W,102-100,W,4.0,U,208.5
"Dec 4, 2018",vs Orlando,REG,L,105-90,L,-2.5,U,208.0
"Dec 7, 2018",@ Phoenix,REG,W,115-98,W,-8.5,O,210.5
"Dec 8, 2018",@ LA Clippers,REG,W,121-98,W,9.5,U,219.5
"Dec 10, 2018",@ LA Lakers,REG,L,108-105,W,5.5,U,222.0
"Dec 12, 2018",@ Utah,REG,L,111-84,L,8.5,U,211.5
"Dec 14, 2018",@ Memphis,REG,W,100-97,W,4.0,O,195.0
"Dec 16, 2018",@ New Orleans,REG,W,102-96,W,5.5,U,221.0
"Dec 20, 2018",vs Houston,REG,W,101-99,W,3.0,U,211.0
"Dec 22, 2018",vs Milwaukee,REG,W,94-87,W,2.0,U,215.0
"Dec 23, 2018",@ Orlando,REG,W,115-91,W,2.5,O,201.5
"Dec 26, 2018",vs Toronto,REG,L,106-104,W,2.5,O,207.5
"Dec 28, 2018",vs Cleveland,REG,W,118-94,W,-10.0,O,202.5
"Dec 30, 2018",vs Minnesota,REG,L,113-104,L,-4.0,O,207.0
"Jan 2, 2019",@ Cleveland,REG,W,117-92,W,-5.5,O,202.5
"Jan 4, 2019",vs Washington,REG,W,115-109,L,-6.5,O,212.0
"Jan 6, 2019",@ Atlanta,REG,L,106-82,L,-6.5,U,218.5
"Jan 8, 2019",vs Denver,REG,L,103-99,L,-2.0,U,209.5
"Jan 10, 2019",vs Boston,REG,W,115-99,W,2.5,O,212.0
"Jan 12, 2019",vs Memphis,REG,W,112-108,W,-3.5,O,195.5
"Jan 15, 2019",@ Milwaukee,REG,L,124-86,L,8.5,U,218.0
"Jan 18, 2019",@ Detroit,REG,L,98-93,L,2.5,U,206.0
"Jan 19, 2019",@ Chicago,REG,W,117-103,W,-3.5,O,208.5
"Jan 21, 2019",@ Boston,REG,L,107-99,W,8.5,U,213.0
"Jan 23, 2019",vs LA Clippers,REG,L,111-99,L,-5.5,U,215.5
"Jan 25, 2019",@ Cleveland,REG,W,100-94,L,-8.5,U,207.5
"Jan 27, 2019",@ New York,REG,W,106-97,W,-5.0,U,209.5
"Jan 30, 2019",vs Chicago,REG,L,105-89,L,-10.5,U,206.0
"Feb 1, 2019",vs Oklahoma City,REG,L,118-102,L,3.5,O,219.0
"Feb 2, 2019",vs Indiana,REG,L,95-88,L,-2.0,U,204.0
"Feb 5, 2019",@ Portland,REG,W,118-108,W,7.5,O,212.5
"Feb 8, 2019",@ Sacramento,REG,L,102-96,L,3.5,U,220.0
"Feb 10, 2019",@ Golden State,REG,L,120-118,W,13.5,O,221.5
"Feb 11, 2019",@ Denver,REG,L,103-87,L,9.5,U,212.5
"Feb 13, 2019",@ Dallas,REG,W,112-101,W,3.0,O,208.0
"Feb 21, 2019",@ Philadelphia,REG,L,106-102,W,5.5,U,220.0
"Feb 23, 2019",vs Detroit,REG,L,119-96,L,-3.5,O,209.5
"Feb 25, 2019",vs Phoenix,REG,L,124-121,L,-7.5,O,217.0
"Feb 27, 2019",vs Golden State,REG,W,126-125,W,9.5,O,225.5
"Feb 28, 2019",@ Houston,REG,L,121-118,W,9.5,O,219.0
"Mar 2, 2019",vs Brooklyn,REG,W,117-88,W,-2.5,U,222.0
"Mar 4, 2019",vs Atlanta,REG,W,114-113,L,-10.0,O,222.0
"Mar 6, 2019",@ Charlotte,REG,W,91-84,W,3.5,U,215.5
"Mar 8, 2019",vs Cleveland,REG,W,126-110,W,-9.0,O,213.5
"Mar 10, 2019",vs Toronto,REG,L,125-104,L,-2.0,O,214.0
"Mar 13, 2019",vs Detroit,REG,W,108-74,W,-2.0,U,208.5
"Mar 15, 2019",vs Milwaukee,REG,L,113-98,L,5.0,U,220.5
"Mar 17, 2019",vs Charlotte,REG,W,93-75,W,-3.0,U,210.0
"Mar 18, 2019",@ Oklahoma City,REG,W,116-107,W,5.5,O,209.5
"Mar 20, 2019",@ San Antonio,REG,W,110-105,W,5.5,O,211.5
"Mar 22, 2019",@ Milwaukee,REG,L,116-87,L,7.5,U,217.5
"Mar 23, 2019",@ Washington,REG,W,113-108,W,1.0,O,220.5
"Mar 26, 2019",vs Orlando,REG,L,104-99,L,-3.5,U,205.0
"Mar 28, 2019",vs Dallas,REG,W,105-99,P,-6.0,U,212.5
"Mar 30, 2019",@ New York,REG,W,100-92,W,-7.0,U,209.0
"Apr 1, 2019",@ Boston,REG,L,110-105,W,7.0,O,213.0
"Apr 3, 2019",vs Boston,REG,L,112-102,L,-1.0,U,214.5
"Apr 5, 2019",@ Minnesota,REG,L,111-109,L,-4.0,O,218.5
"Apr 7, 2019",@ Toronto,REG,L,117-109,L,5.5,O,215.5
"Apr 9, 2019",vs Philadelphia,REG,W,122-99,W,-6.0,O,219.0
"Apr 10, 2019",@ Brooklyn,REG,L,113-94,L,4.5,U,219.5
