Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 17, 2018",@ Charlotte,REG,W,113-112,L,-3.5,O,222.0
"Oct 19, 2018",vs Indiana,REG,W,118-101,W,-4.0,O,216.5
"Oct 22, 2018",vs New York,REG,W,124-113,P,-11.0,O,226.0
"Oct 24, 2018",vs Philadelphia,REG,W,123-108,W,-5.0,O,228.0
"Oct 26, 2018",@ Minnesota,REG,W,125-95,W,-2.0,U,233.5
"Oct 27, 2018",vs Orlando,REG,W,113-91,W,-9.0,U,220.0
"Oct 29, 2018",vs Toronto,REG,W,124-109,W,2.0,O,222.5
"Nov 1, 2018",@ Boston,REG,L,117-113,L,2.5,O,220.5
"Nov 4, 2018",vs Sacramento,REG,W,144-109,W,-9.5,O,236.0
"Nov 6, 2018",@ Portland,REG,L,118-103,L,-2.0,U,230.0
"Nov 8, 2018",@ Golden State,REG,W,134-111,W,5.5,O,242.5
"Nov 10, 2018",@ LA Clippers,REG,L,128-126,L,-4.0,O,233.5
"Nov 11, 2018",@ Denver,REG,W,121-114,W,3.5,O,224.5
"Nov 14, 2018",vs Memphis,REG,L,116-113,L,-9.5,O,212.5
"Nov 16, 2018",vs Chicago,REG,W,123-104,W,-14.5,O,225.5
"Nov 19, 2018",vs Denver,REG,W,104-98,W,-5.5,U,224.5
"Nov 21, 2018",vs Portland,REG,W,143-100,W,-7.5,O,226.5
"Nov 23, 2018",vs Phoenix,REG,L,116-114,L,-13.5,U,232.5
"Nov 24, 2018",vs San Antonio,REG,W,135-129,L,-9.5,O,226.5
"Nov 26, 2018",@ Charlotte,REG,L,110-107,L,-4.5,U,234.0
"Nov 28, 2018",vs Chicago,REG,W,116-113,L,-14.5,U,230.0
"Dec 1, 2018",@ New York,REG,L,136-134,L,-8.5,O,230.0
"Dec 5, 2018",vs Detroit,REG,W,115-92,W,-7.5,U,225.5
"Dec 7, 2018",vs Golden State,REG,L,105-95,L,-2.0,U,241.5
"Dec 9, 2018",@ Toronto,REG,W,104-99,W,5.0,U,229.5
"Dec 10, 2018",vs Cleveland,REG,W,108-92,W,-10.5,U,217.0
"Dec 12, 2018",@ Indiana,REG,L,113-97,L,-2.0,U,219.0
"Dec 14, 2018",@ Cleveland,REG,W,114-102,W,-9.5,U,220.0
"Dec 17, 2018",@ Detroit,REG,W,107-104,P,-3.0,U,224.5
"Dec 19, 2018",vs New Orleans,REG,W,123-115,L,-9.0,O,230.0
"Dec 21, 2018",@ Boston,REG,W,120-107,W,-1.5,O,223.5
"Dec 22, 2018",@ Miami,REG,L,94-87,L,-2.0,U,215.0
"Dec 25, 2018",@ New York,REG,W,109-95,W,-9.5,U,226.0
"Dec 27, 2018",vs New York,REG,W,112-96,W,-14.5,U,227.0
"Dec 29, 2018",vs Brooklyn,REG,W,129-115,W,-11.0,O,222.0
"Jan 1, 2019",vs Detroit,REG,W,121-98,W,-10.0,U,219.5
"Jan 4, 2019",vs Atlanta,REG,W,144-112,W,-13.5,O,230.0
"Jan 5, 2019",vs Toronto,REG,L,123-116,L,-5.5,O,227.0
"Jan 7, 2019",vs Utah,REG,W,114-102,W,-5.0,U,223.0
"Jan 9, 2019",@ Houston,REG,W,116-109,W,-1.5,U,229.5
"Jan 11, 2019",@ Washington,REG,L,113-106,L,-2.0,U,227.5
"Jan 13, 2019",@ Atlanta,REG,W,133-114,W,-9.5,O,232.0
"Jan 15, 2019",vs Miami,REG,W,124-86,W,-8.5,U,218.0
"Jan 16, 2019",@ Memphis,REG,W,111-101,W,-6.0,U,213.0
"Jan 19, 2019",@ Orlando,REG,W,118-108,P,-10.0,O,222.0
"Jan 21, 2019",vs Dallas,REG,W,116-106,L,-11.0,U,224.0
"Jan 25, 2019",vs Charlotte,REG,W,108-99,L,-11.0,U,230.0
"Jan 27, 2019",@ Oklahoma City,REG,L,118-112,L,-1.0,U,235.5
