Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 18, 2018",vs LA Lakers,REG,W,128-119,W,-3.0,O,224.0
"Oct 20, 2018",vs San Antonio,REG,W,121-108,W,-4.5,O,213.5
"Oct 22, 2018",vs Washington,REG,L,125-124,L,-4.5,O,228.0
"Oct 25, 2018",@ Orlando,REG,W,128-114,W,-3.5,O,214.0
"Oct 27, 2018",@ Miami,REG,L,120-111,L,1.5,O,220.0
"Oct 29, 2018",@ Indiana,REG,W,103-93,W,4.0,U,215.5
"Oct 30, 2018",@ Houston,REG,W,104-85,W,4.5,U,222.5
"Nov 1, 2018",vs New Orleans,REG,W,132-119,W,-8.0,O,230.0
"Nov 3, 2018",vs LA Lakers,REG,L,114-110,L,-3.5,U,236.0
"Nov 4, 2018",vs Minnesota,REG,W,111-81,W,-5.5,U,228.0
"Nov 6, 2018",vs Milwaukee,REG,W,118-103,W,2.0,U,230.0
"Nov 8, 2018",vs LA Clippers,REG,W,116-105,W,-5.0,U,225.5
"Nov 11, 2018",vs Boston,REG,W,100-94,W,-2.0,U,214.5
"Nov 14, 2018",@ LA Lakers,REG,L,126-117,L,2.5,O,223.0
"Nov 16, 2018",@ Minnesota,REG,L,112-96,L,1.0,U,225.0
"Nov 18, 2018",@ Washington,REG,W,119-109,W,-1.5,O,220.5
"Nov 20, 2018",@ New York,REG,W,118-114,L,-7.0,O,220.5
"Nov 21, 2018",@ Milwaukee,REG,L,143-100,L,7.5,O,226.5
"Nov 23, 2018",@ Golden State,REG,L,125-97,L,1.0,O,218.5
"Nov 25, 2018",vs LA Clippers,REG,L,104-100,L,-4.0,U,227.5
"Nov 28, 2018",vs Orlando,REG,W,115-112,L,-10.0,O,215.0
"Nov 30, 2018",vs Denver,REG,L,113-112,L,-1.5,O,214.0
"Dec 2, 2018",@ San Antonio,REG,L,131-118,L,-1.0,O,217.5
"Dec 4, 2018",@ Dallas,REG,L,111-102,L,1.5,U,217.0
"Dec 6, 2018",vs Phoenix,REG,W,108-86,W,-12.5,U,211.0
"Dec 8, 2018",vs Minnesota,REG,W,113-105,W,-3.0,U,220.5
"Dec 11, 2018",@ Houston,REG,L,111-103,L,6.5,U,220.5
"Dec 12, 2018",@ Memphis,REG,L,92-83,L,3.5,U,201.5
"Dec 14, 2018",vs Toronto,REG,W,128-122,W,1.5,O,216.0
"Dec 17, 2018",@ LA Clippers,REG,W,131-127,W,1.5,O,217.5
"Dec 19, 2018",vs Memphis,REG,W,99-92,W,-5.5,U,201.5
"Dec 21, 2018",vs Utah,REG,L,120-90,L,-2.0,U,213.5
"Dec 23, 2018",vs Dallas,REG,W,121-118,L,-7.5,O,215.5
"Dec 25, 2018",@ Utah,REG,L,117-96,L,7.0,U,214.5
"Dec 27, 2018",@ Golden State,REG,W,110-109,W,9.0,U,227.0
"Dec 29, 2018",vs Golden State,REG,L,115-105,L,5.0,U,226.5
"Dec 30, 2018",vs Philadelphia,REG,W,129-95,W,-3.0,U,224.5
"Jan 1, 2019",@ Sacramento,REG,W,113-108,W,-1.0,U,230.0
"Jan 4, 2019",vs Oklahoma City,REG,L,111-109,L,-1.0,U,223.5
"Jan 5, 2019",vs Houston,REG,W,110-101,W,-2.0,U,219.0
"Jan 7, 2019",vs New York,REG,W,111-101,L,-11.0,U,222.0
"Jan 9, 2019",vs Chicago,REG,W,124-112,W,-9.5,O,209.0
"Jan 11, 2019",vs Charlotte,REG,W,127-96,W,-6.5,P,223.0
"Jan 13, 2019",@ Denver,REG,L,116-113,W,4.5,O,216.5
"Jan 14, 2019",@ Sacramento,REG,L,115-107,L,2.0,U,228.0
"Jan 16, 2019",vs Cleveland,REG,W,129-112,W,-14.0,O,217.0
"Jan 18, 2019",vs New Orleans,REG,W,128-112,W,-3.0,O,235.5
"Jan 21, 2019",@ Utah,REG,W,109-104,W,5.0,U,218.5
"Jan 22, 2019",@ Oklahoma City,REG,L,123-114,L,4.0,O,225.0
"Jan 24, 2019",@ Phoenix,REG,W,120-106,W,-8.5,O,220.5
"Jan 26, 2019",vs Atlanta,REG,W,120-111,W,-8.5,O,224.0
"Jan 30, 2019",vs Utah,REG,W,132-105,W,2.5,O,218.0
"Feb 5, 2019",vs Miami,REG,L,118-108,L,-7.5,O,212.5
"Feb 7, 2019",vs San Antonio,REG,W,127-118,W,-6.0,O,226.5
"Feb 10, 2019",@ Dallas,REG,L,102-101,L,-3.0,U,219.5
"Feb 11, 2019",@ Oklahoma City,REG,L,120-111,L,4.5,U,232.0
"Feb 13, 2019",vs Golden State,REG,W,129-107,W,2.5,O,235.0
"Feb 21, 2019",@ Brooklyn,REG,W,113-99,W,-3.0,U,231.5
"Feb 23, 2019",@ Philadelphia,REG,W,130-115,W,1.5,O,230.0
"Feb 25, 2019",@ Cleveland,REG,W,123-110,W,-9.0,O,224.5
"Feb 27, 2019",@ Boston,REG,W,97-92,W,2.5,U,227.5
"Mar 1, 2019",@ Toronto,REG,L,119-117,W,5.0,O,229.5
"Mar 3, 2019",@ Charlotte,REG,W,118-108,W,-2.5,O,224.5
"Mar 5, 2019",@ Memphis,REG,L,120-111,L,-5.5,O,215.5
"Mar 7, 2019",vs Oklahoma City,REG,L,129-121,L,-3.5,O,233.0
"Mar 9, 2019",vs Phoenix,REG,W,127-120,L,-12.0,O,226.5
"Mar 12, 2019",@ LA Clippers,REG,W,125-104,W,-4.0,U,232.0
"Mar 15, 2019",@ New Orleans,REG,W,122-110,W,-9.0,U,232.5
"Mar 16, 2019",@ San Antonio,REG,L,108-103,L,2.5,U,223.0
"Mar 18, 2019",vs Indiana,REG,W,106-98,W,-4.5,U,211.0
"Mar 20, 2019",vs Dallas,REG,W,126-118,L,-10.0,O,217.0
"Mar 23, 2019",vs Detroit,REG,W,117-112,P,-5.0,O,215.0
"Mar 25, 2019",vs Brooklyn,REG,W,148-144,L,-6.0,O,223.5
"Mar 27, 2019",@ Chicago,REG,W,118-98,W,-9.0,P,216.0
"Mar 29, 2019",@ Atlanta,REG,W,118-98,W,-2.5,U,233.0
"Mar 30, 2019",@ Detroit,REG,L,99-90,L,5.5,U,216.0
"Apr 1, 2019",@ Minnesota,REG,W,132-122,W,-3.0,O,225.0
"Apr 3, 2019",vs Memphis,REG,W,116-89,W,-10.5,U,216.5
"Apr 5, 2019",@ Denver,REG,L,119-110,L,6.0,O,216.5
"Apr 7, 2019",vs Denver,REG,W,115-108,L,-8.5,O,219.5
"Apr 9, 2019",@ LA Lakers,REG,W,104-101,L,-9.5,U,226.0
"Apr 10, 2019",vs Sacramento,REG,W,136-131,W,-3.0,O,226.5
"Apr 14, 2019",vs Oklahoma City,PST,W,104-99,W,-3.0,U,224.5
"Apr 16, 2019",vs Oklahoma City,PST,W,114-94,W,-1.0,U,224.5
"Apr 19, 2019",@ Oklahoma City,PST,L,120-108,L,7.5,O,221.0
"Apr 21, 2019",@ Oklahoma City,PST,W,111-98,W,5.5,U,222.0
"Apr 23, 2019",vs Oklahoma City,PST,W,118-115,L,-4.5,O,222.5
"Apr 29, 2019",@ Denver,PST,L,121-113,L,4.0,O,215.0
"May 1, 2019",@ Denver,PST,W,97-90,W,4.0,U,219.5
"May 3, 2019",vs Denver,PST,W,140-137,L,-5.0,O,215.0
"May 5, 2019",vs Denver,PST,L,116-112,L,-3.0,O,211.0
"May 7, 2019",@ Denver,PST,L,124-98,L,5.0,O,213.0
"May 9, 2019",vs Denver,PST,W,119-108,W,-4.0,O,213.5
"May 12, 2019",@ Denver,PST,W,100-96,W,5.5,U,211.0
"May 14, 2019",@ Golden State,PST,L,116-94,L,7.0,U,221.0
"May 16, 2019",@ Golden State,PST,L,114-111,W,7.0,O,220.0
"May 18, 2019",vs Golden State,PST,L,110-99,L,-3.0,U,221.0
"May 20, 2019",vs Golden State,PST,L,119-117,P,2.0,O,219.0
