Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 17, 2018",vs Cleveland,REG,W,116-104,L,-12.5,O,215.0
"Oct 19, 2018",vs Boston,REG,W,113-101,W,-3.0,O,209.5
"Oct 20, 2018",@ Washington,REG,W,117-113,W,2.0,O,219.5
"Oct 22, 2018",vs Charlotte,REG,W,127-106,W,-8.5,O,224.5
"Oct 24, 2018",vs Minnesota,REG,W,112-105,L,-8.5,U,227.0
"Oct 26, 2018",vs Dallas,REG,W,116-107,L,-11.5,O,221.5
"Oct 29, 2018",@ Milwaukee,REG,L,124-109,L,-2.0,O,222.5
"Oct 30, 2018",vs Philadelphia,REG,W,129-112,W,-6.0,O,227.5
"Nov 2, 2018",@ Phoenix,REG,W,107-98,L,-10.0,U,226.5
"Nov 4, 2018",@ LA Lakers,REG,W,121-107,W,1.5,U,235.5
"Nov 5, 2018",@ Utah,REG,W,124-111,W,3.0,O,214.5
"Nov 7, 2018",@ Sacramento,REG,W,114-105,P,-9.0,U,233.0
"Nov 10, 2018",vs New York,REG,W,128-112,W,-14.5,O,217.5
"Nov 12, 2018",vs New Orleans,REG,L,126-110,L,-9.5,O,228.5
"Nov 14, 2018",vs Detroit,REG,L,106-104,L,-9.5,U,221.5
"Nov 16, 2018",@ Boston,REG,L,123-116,L,2.0,O,218.0
"Nov 17, 2018",@ Chicago,REG,W,122-83,W,-9.5,U,214.5
"Nov 20, 2018",@ Orlando,REG,W,93-91,L,-7.0,U,219.0
"Nov 21, 2018",@ Atlanta,REG,W,124-108,W,-8.0,O,225.5
"Nov 23, 2018",vs Washington,REG,W,125-107,W,-10.5,O,230.5
"Nov 25, 2018",vs Miami,REG,W,125-115,L,-12.0,O,215.0
"Nov 27, 2018",@ Memphis,REG,W,122-114,W,-5.5,O,208.5
"Nov 29, 2018",vs Golden State,REG,W,131-128,L,-9.5,O,223.0
"Dec 1, 2018",@ Cleveland,REG,W,106-95,L,-12.0,U,213.0
"Dec 3, 2018",vs Denver,REG,L,106-103,L,-7.0,U,219.0
"Dec 5, 2018",vs Philadelphia,REG,W,113-102,W,-6.5,U,229.0
"Dec 7, 2018",@ Brooklyn,REG,L,106-105,L,-8.5,U,221.0
"Dec 9, 2018",vs Milwaukee,REG,L,104-99,L,-5.0,U,229.5
"Dec 11, 2018",@ LA Clippers,REG,W,123-99,W,-3.0,O,219.5
"Dec 12, 2018",@ Golden State,REG,W,113-93,W,8.0,U,226.5
"Dec 14, 2018",@ Portland,REG,L,128-122,L,-1.5,O,216.0
"Dec 16, 2018",@ Denver,REG,L,95-86,L,3.0,U,209.5
"Dec 19, 2018",vs Indiana,REG,W,99-96,L,-4.5,U,210.5
"Dec 21, 2018",vs Cleveland,REG,W,126-110,W,-11.5,O,210.5
"Dec 22, 2018",@ Philadelphia,REG,L,126-101,L,7.5,O,222.5
"Dec 26, 2018",@ Miami,REG,W,106-104,L,-2.5,O,207.5
"Dec 28, 2018",@ Orlando,REG,L,116-87,L,-4.5,U,207.5
"Dec 30, 2018",vs Chicago,REG,W,95-89,L,-10.5,U,206.5
"Jan 1, 2019",vs Utah,REG,W,122-116,W,-1.5,O,209.0
"Jan 3, 2019",@ San Antonio,REG,L,125-107,L,3.5,O,218.0
"Jan 5, 2019",@ Milwaukee,REG,W,123-116,W,5.5,O,227.0
"Jan 6, 2019",vs Indiana,REG,W,121-105,W,-1.5,O,214.0
"Jan 8, 2019",vs Atlanta,REG,W,104-101,L,-13.5,U,228.5
"Jan 11, 2019",vs Brooklyn,REG,W,122-105,W,-10.0,O,224.5
"Jan 13, 2019",@ Washington,REG,W,140-138,L,-5.0,O,224.5
"Jan 16, 2019",@ Boston,REG,L,117-108,L,2.5,O,223.0
"Jan 17, 2019",vs Phoenix,REG,W,111-109,L,-9.0,U,223.5
"Jan 19, 2019",vs Memphis,REG,W,119-90,W,-10.5,U,213.0
"Jan 22, 2019",vs Sacramento,REG,W,120-105,W,-11.0,U,226.5
"Jan 23, 2019",@ Indiana,REG,L,110-106,W,6.5,U,217.0
"Jan 25, 2019",@ Houston,REG,L,121-119,L,-3.5,O,228.5
"Jan 27, 2019",@ Dallas,REG,W,123-120,L,-4.5,O,220.0
"Jan 31, 2019",vs Milwaukee,REG,L,105-92,L,-2.5,U,232.0
"Feb 3, 2019",vs LA Clippers,REG,W,121-103,W,-9.5,U,225.5
"Feb 5, 2019",@ Philadelphia,REG,W,119-107,W,2.5,U,230.5
"Feb 7, 2019",@ Atlanta,REG,W,119-101,W,-6.5,U,232.5
"Feb 9, 2019",@ New York,REG,W,104-99,L,-13.5,U,215.5
"Feb 11, 2019",vs Brooklyn,REG,W,127-125,L,-10.0,O,227.5
"Feb 13, 2019",vs Washington,REG,W,129-120,L,-9.5,O,232.5
