Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total
"Oct 18, 2018",vs Miami,REG,L,113-112,L,-5.5,O,214.5
"Oct 20, 2018",vs Toronto,REG,L,117-113,L,-2.0,O,219.5
"Oct 22, 2018",@ Portland,REG,W,125-124,W,4.5,O,228.0
"Oct 24, 2018",@ Golden State,REG,L,144-122,L,10.0,O,236.0
"Oct 26, 2018",@ Sacramento,REG,L,116-112,L,-5.5,U,236.5
"Oct 28, 2018",@ LA Clippers,REG,L,136-104,L,3.5,O,228.5
"Oct 30, 2018",@ Memphis,REG,L,107-95,L,1.5,U,220.0
"Nov 2, 2018",vs Oklahoma City,REG,L,134-111,L,-3.5,O,233.0
"Nov 4, 2018",vs New York,REG,W,108-95,W,-6.5,U,223.5
"Nov 6, 2018",@ Dallas,REG,L,119-100,L,-1.5,U,228.0
"Nov 9, 2018",@ Orlando,REG,L,117-108,L,-4.0,O,221.5
"Nov 10, 2018",@ Miami,REG,W,116-110,W,3.5,O,224.0
"Nov 12, 2018",vs Orlando,REG,W,117-109,W,-7.5,O,222.0
"Nov 14, 2018",vs Cleveland,REG,W,119-95,W,-11.5,U,216.0
"Nov 16, 2018",vs Brooklyn,REG,L,115-104,L,-6.0,U,224.0
"Nov 18, 2018",vs Portland,REG,L,119-109,L,1.5,O,220.5
"Nov 20, 2018",vs LA Clippers,REG,W,125-118,W,1.0,O,233.0
"Nov 23, 2018",@ Toronto,REG,L,125-107,L,10.5,O,230.5
"Nov 24, 2018",vs New Orleans,REG,W,124-114,W,-3.5,O,237.5
"Nov 26, 2018",vs Houston,REG,W,135-131,W,-1.5,O,223.0
"Nov 28, 2018",@ New Orleans,REG,L,125-104,L,6.5,U,241.0
"Nov 30, 2018",@ Philadelphia,REG,L,123-98,L,8.5,U,233.5
"Dec 1, 2018",vs Brooklyn,REG,W,102-88,W,-6.5,U,228.0
"Dec 3, 2018",@ New York,REG,W,110-107,W,-2.5,U,229.0
"Dec 5, 2018",@ Atlanta,REG,W,131-117,W,-3.5,O,228.5
"Dec 8, 2018",@ Cleveland,REG,L,116-101,L,-7.5,O,216.5
"Dec 10, 2018",@ Indiana,REG,L,109-101,L,6.0,U,216.5
"Dec 12, 2018",vs Boston,REG,L,130-125,L,3.5,O,220.0
"Dec 14, 2018",@ Brooklyn,REG,L,125-118,L,3.0,O,225.0
"Dec 16, 2018",vs LA Lakers,REG,W,128-110,W,3.5,O,231.5
"Dec 18, 2018",@ Atlanta,REG,L,118-110,L,-3.0,U,238.0
"Dec 19, 2018",@ Houston,REG,L,136-118,L,11.0,O,225.0
"Dec 22, 2018",vs Phoenix,REG,W,149-146,L,-5.0,O,226.5
"Dec 23, 2018",@ Indiana,REG,L,105-89,L,11.0,U,219.0
"Dec 26, 2018",@ Detroit,REG,L,106-95,L,4.5,U,221.5
"Dec 28, 2018",vs Chicago,REG,L,101-92,L,-4.5,U,212.5
"Dec 29, 2018",vs Charlotte,REG,W,130-126,W,3.5,O,217.5
"Jan 2, 2019",vs Atlanta,REG,W,114-98,W,-6.0,U,230.0
"Jan 4, 2019",@ Miami,REG,L,115-109,W,6.5,O,212.0
"Jan 6, 2019",@ Oklahoma City,REG,W,116-98,W,10.0,U,227.5
"Jan 8, 2019",@ Philadelphia,REG,L,132-115,L,8.0,O,227.0
"Jan 9, 2019",vs Philadelphia,REG,W,123-106,W,3.5,O,227.5
"Jan 11, 2019",vs Milwaukee,REG,W,113-106,W,2.0,U,227.5
"Jan 13, 2019",vs Toronto,REG,L,140-138,W,5.0,O,224.5
